document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7103_SPRITZER_2021,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P002,Financial Review,B003,"[MDA_P003] ECONOMIC OVERVIEW The ongoing COVID-19 pandemic continued to impact the global and domestic economic activities in 2021. The world was slowly adjusting to the new normal and vaccinations became available, the global economy gradually recovered. The Malaysian economy was also gradually rec","[MDA_P003] ECONOMIC OVERVIEW The ongoing COVID-19 pandemic continued to impact the global and domestic economic activities in 2021. The world was slowly adjusting to the new normal and vaccinations became available, the global economy gradually recovered. The Malaysian economy was also gradually recovering in 2021. However, as the local daily COVID-19 cases began to surge in May 2021, the Government had to introduce stricter nationwide containment measures to curb the spread of coronavirus. The swift implementation of the National COVID-19 Immunisation programme enabled more economic sectors to gradually reopen in the third quarter of the year. Strong exports and improved domestic demand provided the support for economic growth in second half of 2021. Malaysia’s full year gross domestic product (“GDP”) recorded a moderate growth of",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P003,Financial Review,B004,"[MDA_P004] 3.1% in 2021 (2020: -5.6%) amidst the challenging global and domestic economic environment. Nevertheless, the year 2021 was also volatile where the levels of economic activities were closely linked to the various movement control measures imposed by the Government.","[MDA_P004] 3.1% in 2021 (2020: -5.6%) amidst the challenging global and domestic economic environment. Nevertheless, the year 2021 was also volatile where the levels of economic activities were closely linked to the various movement control measures imposed by the Government.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P004,Financial Review,B005,"[MDA_P005] BUSINESS AND OPERATIONS OVERVIEW We are a pioneer and the industry leader in the Malaysian bottled water industry with more than 30 years of manufacturing, distribution and branding excellence. We started the production and sale of bottled water products in year 1989. Listed in September ","[MDA_P005] BUSINESS AND OPERATIONS OVERVIEW We are a pioneer and the industry leader in the Malaysian bottled water industry with more than 30 years of manufacturing, distribution and branding excellence. We started the production and sale of bottled water products in year 1989. Listed in September 2000, Spritzer Bhd is the first and only bottled water company listed on Bursa Malaysia Securities Berhad. Our Group is principally involved in the manufacturing, marketing and selling of a comprehensive range of bottled water products. With annual turnover exceeding RM300 million and a market capitalisation of RM441 million as of December 31, 2021 (2020: RM414 million), our Group is the largest and most integrated bottled water producer in Malaysia with a commanding market share of about 40%. Our core brands are Spritzer, Spritzer Sparkling, Spritzer Tinge, Spritzer So",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P005,Financial Review,B006,"[MDA_P006] Tinge, Cactus, Cactus Sparkling, Desa and Summer which are also the leading brands in their respective market segments in the Malaysian bottled water industry. Our Group has three bottled water plants and one plastic packaging manufacturing plant in Malaysia. Our main mineral water plant ","[MDA_P006] Tinge, Cactus, Cactus Sparkling, Desa and Summer which are also the leading brands in their respective market segments in the Malaysian bottled water industry. Our Group has three bottled water plants and one plastic packaging manufacturing plant in Malaysia. Our main mineral water plant is located on a 330-acre site in Taiping, Perak with the second mineral water plant in Yong Peng, Johor and the third drinking water plant in Shah Alam, Selangor. Our plastic packaging manufacturing plant is located in Ipoh, Perak. In 2020, the Group had completed its integrated warehouse with automated storage and retrieval system (“ASRS”) which has a capacity of 15,000 pallets. The commissioning of the ASRS warehouse at our main mineral water plant in Taiping has greatly improved the efficiency and effectiveness of our supply chain",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P006,Financial Review,B007,"[MDA_P007] management and at the same time minimising the use of forklifts and thus reduces our carbon footprint. The Group has an annual production capacity of about 850 million litres of bottled water as of December 31, 2021.","[MDA_P007] management and at the same time minimising the use of forklifts and thus reduces our carbon footprint. The Group has an annual production capacity of about 850 million litres of bottled water as of December 31, 2021.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P007,Financial Review,B008,[MDA_P008] SUSTAINABLE,[MDA_P008] SUSTAINABLE,normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P008,Financial Review,B009,[MDA_P009] PACKAGING Our operations are primarily in Malaysia and our export sales currently make up of less than 10% of our Group’s,[MDA_P009] PACKAGING Our operations are primarily in Malaysia and our export sales currently make up of less than 10% of our Group’s,normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P009,Financial Review,B010,"[MDA_P010] revenue. We also have a wholly owned trading company in Guangzhou, China which has, in April 2016, started its operations of selling and wholesale distribution of bottled water products in China. The Group also exports its mineral water products under the brand name ACILIS by Spritzer to ","[MDA_P010] revenue. We also have a wholly owned trading company in Guangzhou, China which has, in April 2016, started its operations of selling and wholesale distribution of bottled water products in China. The Group also exports its mineral water products under the brand name ACILIS by Spritzer to United Kingdom and Netherlands. The Group also owns and manages the Spritzer EcoPark. This recreational park is situated within our 330-acre mineral water plant in Taiping, Perak. The Spritzer EcoPark, which has been in operations since August 2015, has an 18-hole mini-golf course, a cafeteria, a discovery tunnel and a kids’ arts and craft centre. As of December 31, 2021, the Group has a workforce of 809 (2020: 837) employees.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7103_SPRITZER_2021,MDA_P010,Financial Review,B011,"[MDA_P011] STRATEGIC DIRECTION Being the largest, most integrated and the leading bottled water company in Malaysia, we are committed to delivering high quality bottled water products to all Malaysians with special focus on health benefits and at the same time, catering to the sophisticated taste pr","[MDA_P011] STRATEGIC DIRECTION Being the largest, most integrated and the leading bottled water company in Malaysia, we are committed to delivering high quality bottled water products to all Malaysians with special focus on health benefits and at the same time, catering to the sophisticated taste preference and the hydration needs of our consumers. Our strategy is to strengthen our leading position in the Malaysian bottled water industry by constantly improving our processes across our value chain and improving our market coverage and sales volume. We will continue to strengthen our position in the markets where we are currently operating. We are also exploring business opportunities in the regional markets. We are also actively exploring and have started introducing sustainable packaging alternatives for our bottled water products.",normalize_whitespace;renumber_paragraph,0,,high
