document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_3662_MFLOUR_2023,REMOVED_001,Unknown,L6,Annual Report 2023 | Malayan Flour Mills Berhad 23,,remove_header_footer,1,header_footer,medium
MDA_3662_MFLOUR_2023,REMOVED_002,Unknown,L48,Annual Report 2023 | Malayan Flour Mills Berhad,,remove_header_footer,1,header_footer,medium
MDA_3662_MFLOUR_2023,REMOVED_003,Unknown,L88,Annual Report 2023 | Malayan Flour Mills Berhad 25,,remove_header_footer,1,header_footer,medium
MDA_3662_MFLOUR_2023,REMOVED_004,Unknown,L128,Annual Report 2023 | Malayan Flour Mills Berhad,,remove_header_footer,1,header_footer,medium
MDA_3662_MFLOUR_2023,REMOVED_005,Unknown,L162,Annual Report 2023 | Malayan Flour Mills Berhad 27,,remove_header_footer,1,header_footer,medium
MDA_3662_MFLOUR_2023,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS,normalize_whitespace;renumber_paragraph,0,,high
MDA_3662_MFLOUR_2023,MDA_P002,Unknown,B002,"[MDA_P002] Financial Performance Highlights To begin with, the operating activities that contribute to MFM’s consolidated revenue are from the Flour and Grain Trading (“FGT”) and aquafeed businesses. The other businesses, namely the Poultry Integration (“PI”) and the Indonesia flour milling operatio","[MDA_P002] Financial Performance Highlights To begin with, the operating activities that contribute to MFM’s consolidated revenue are from the Flour and Grain Trading (“FGT”) and aquafeed businesses. The other businesses, namely the Poultry Integration (“PI”) and the Indonesia flour milling operations, contribute only at share of profit/loss of equity-accounted entity level. During the financial year ended 31 December 2023 (“FY2023”), MFM saw the FGT and aquafeed operations contribute to group revenue of RM3.15 billion, 8.0% higher than RM2.92 billion in the previous year. The FGT segment still faced volatility, albeit moderated, in its Malaysia and Vietnam operations during the year under review. That was after a turbulent year in 2022, caused by pressures from inflation and rising interest rates, geopolitical conflict in Europe cum the associated supply chains disruption, and the high commodity prices of our main raw materials of wheat and grain.",normalize_whitespace;renumber_paragraph,0,,high
MDA_3662_MFLOUR_2023,MDA_P003,Unknown,B003,"[MDA_P003] The scenario resulted in our operations carrying inventories that were of high costs in the beginning of 2023, even as the commodity prices were already easing off and demand for our flour products was recovering. The continued recovery in demand for flour products in Malaysia and Vietnam","[MDA_P003] The scenario resulted in our operations carrying inventories that were of high costs in the beginning of 2023, even as the commodity prices were already easing off and demand for our flour products was recovering. The continued recovery in demand for flour products in Malaysia and Vietnam throughout the year not only resulted in the volume-spurred revenue growth of 8.0% but also helped in the improved performance at the pre-tax level during the second half of 2023, finishing FY2023 with a pre-tax profit of RM96.9 million, compared to RM100.6 million previously. The Group’s PI segment, through the 51% equity stake in DTSB and the subsidiaries, contributed to a profit after tax of RM50.7 million in FY2023, 66.4% lower than that of FY2022. The lower profit was achieved on a flat revenue of RM1.14 billion, versus RM1.11 billion previously. A number of factors were attributed to the weaker profit margin for the poultry business, namely sales mix of lower margin, reduced subsidy income, lower demand arising from boycott of western quick service restaurant (“QSR”) chains and lower recognition of deferred tax assets.",normalize_whitespace;renumber_paragraph,0,,high
MDA_3662_MFLOUR_2023,MDA_P004,Unknown,B004,"[MDA_P004] Correspondingly, the share of profit from the PI segment amounted to RM25.9 million in FY2023, compared to a share of profit of RM77.0 million in the previous year. Following the weaker financial performance of the PI segment in FY2023, the financial targets of profitability and net cash ","[MDA_P004] Correspondingly, the share of profit from the PI segment amounted to RM25.9 million in FY2023, compared to a share of profit of RM77.0 million in the previous year. Following the weaker financial performance of the PI segment in FY2023, the financial targets of profitability and net cash level set in the joint venture agreement with Tyson were consequently not met. The circumstances necessitated MFM to recognise a loss on remeasurement of contingent consideration receivable of RM71.1 million due from Tyson. Compounding the above factors related to the PI segment, our Indonesia flour milling operations under the Group’s 30% associate company, PT Bungasari Flour Mills Indonesia (“BFMI”), contributed to an even bigger share of loss of RM19.9 million during the year, versus a share of loss of RM7.0 million in the previous financial year of 2022, notwithstanding the 22.6% rise in revenue to RM2.22 billion during the year. The negative performance was largely due to intense competition, high costs of inventories, weak Rupiah, and high finance costs.",normalize_whitespace;renumber_paragraph,0,,high
MDA_3662_MFLOUR_2023,MDA_P005,Unknown,B005,"[MDA_P005] Correspondingly, the Group recorded a loss after tax and minority interest amounting to RM6.7 million or basic loss per share (“LPS”) of 0.65 sen, compared to a profit after tax and minority interest of RM145.0 million or basic earnings per share (“EPS”) of 14.22 sen previously. Excluding","[MDA_P005] Correspondingly, the Group recorded a loss after tax and minority interest amounting to RM6.7 million or basic loss per share (“LPS”) of 0.65 sen, compared to a profit after tax and minority interest of RM145.0 million or basic earnings per share (“EPS”) of 14.22 sen previously. Excluding the effect of remeasurement of contingent consideration receivable, the adjusted EPS is 6.30 sen, as compared to 13.36 sen previously.",normalize_whitespace;renumber_paragraph,0,,high
