document_id,paragraph_id,raw_text,metric_name,current_value,previous_value,stated_change_value,calculated_change_pct,difference_pct_points,original_consistency_status,audit_label,likely_reason,needs_manual_review,recommended_numeric_checker_fix
MDA_0012_3A_2023,[MDA_P005],"MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED) Statista, the market and consumer data provider also reveals that the global revenue in the food market was forecast to continuously increase between 2023 and 2028 by in total 3.6 trillion U.S. dollars (+38.46 percent). This market is poised for signifi",segment revenue,4054.6,38.46,0,4054.6,4054.6,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_0212_SDS_2020,[MDA_P009],"Due to the outbreak of the COVID-19 pandemic, the Group has experienced lower revenue from the retail channel since February 2020 as consumers began to avoid crowded places. However, during this period, some of the fixed overhead expenses remained constant, thus resulting in a slightly lower gross p",margin,9.3,2020.0,46.3,0.460396,45.839604,material_discrepancy,real_discrepancy,true_math_error,0,none
MDA_0212_SDS_2022,[MDA_P007],"Financial Indicators FY2022 RM’000 FY2021 RM’000 Difference (%) Revenue 198,283 173,778 14.1% Gross Profit 61,596 52,988 16.2% Gross Profit Margin 31.1% 30.5% 1.9% Profit Before Tax 14,103 9,589 47.1% Profit After Tax Attributable to Owners of the Company (""PAT"") 10,618 7,271 46.0% Net profit margin",margin,61596.0,198283.0,14.1,31.06469,16.96469,material_discrepancy,real_discrepancy,true_math_error,0,none
MDA_0212_SDS_2023,[MDA_P007],The driving factor for the higher sales has been the uplifting of movement controls at the country’s borders as well as the increased options for value-for-money bakery products given the economic pressure on the customers’ purchasing power. The Group establishment of distribution centres at the str,margin,2023.0,24.8,134.3,8157.258065,8022.958065,material_discrepancy,real_discrepancy,true_math_error,0,none
MDA_0212_SDS_2023,[MDA_P030],"SDS GROUP BERHAD Management Discussion and Analysis OUTLOOK AND PROSPECTS Moving into FY2024, sustaining consumption demand will be a key challenge in the prospect of global economic slowdown or recession. With the looming high inflation, twin effects of slower demand and rising input costs could si",segment revenue,4055.0,36.0,0,4055.0,4055.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_0212_SDS_2024,[MDA_P007],"Financial indicators as listed below: INDICATOR FY2024 (RM ’000)* FY2023 (RM ’000)* DIFFERENCE (%) Revenue 324,063 283,667 14.2% Gross Profit 110,054 89,292 23.3% Gross Profit Margin (%) 34.0 31.5 7.9% Profit before tax 43,290 32,767 32.1% Profit after tax attributable to owners of the Company 32,55",margin,110054.0,324063.0,14.2,33.96068,19.76068,material_discrepancy,real_discrepancy,true_math_error,0,none
MDA_0212_SDS_2024,[MDA_P008],"The Group’s healthy revenue is reflected in its growth of 14.2% from RM 283.7 million in FY2023 to RM 324.1 million in FY2024. The increase in profit before tax (“PBT”) is mainly due to the increase in revenue and improvement in gross profit margin, from 31.5% in FY2023 to 34.0% in FY2024. This was ",margin,2023.0,283.7,31.5,713.077194,681.577194,material_discrepancy,parser_false_positive,unit_mismatch,0,normalize RM'000/RM million/RM billion before comparison
MDA_2828_CIHLDG_2024,[MDA_P006],"The overall average for the year stood at RM4.70/USD. This is a 4.47% increase as against the previous financial year average of MYR 4.495 to 1 USD. The Group has successfully navigated global challenges by expanding its product range and diversifying its sales mix, which has minimised revenue losse",margin,117.17,166.51,3.01,70.368146,67.358146,material_discrepancy,needs_manual_review,profit_loss_swing,1,do not force ordinary growth rate on profit/loss swing
MDA_3026_DLADY_2022,[MDA_P032],"After reconciliation, DLMI paid to its shareholders a total of RM32 million in interim dividends consisting of two standards dividends of RM0.25 each. This represents a distribution of 69% of the profits attributable to shareholders. ANALYSIS OF INCOME Our reported Revenue increased 18% versus the p",margin,0.25,1134.0,35.0,0.022046,34.977954,material_discrepancy,real_discrepancy,true_math_error,0,none
MDA_3662_MFLOUR_2020,[MDA_P002],"The net interest expenses reduced by RM1.1 million to RM17.3 million in 2020 as compared to the previous year primarily due to the lower interest rate environment throughout the year. As at 31 December 2020, our Group’s total assets stood at RM2.58 billion with cash and cash equivalents of RM404.6 m",segment revenue,4089.4,2580.0,0,4089.4,4089.4,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3662_MFLOUR_2021,[MDA_P002],"to favourable margin arising from higher sales volume of fl our and increased selling prices in 2021. On the contrary, grains trading business recorded an operating loss for fi nancial year 2021 due to lower demand and higher commodity cost which negated the higher grains selling prices. The Group r",segment revenue,8632.05,2730.0,0,8632.05,8632.05,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3689_FN_2020,[MDA_P019],"*Based on Retail Index Service for Carbonated Soft Drink category for the 12 months ending July 2020 in Total Malaysia. (Copyright © 2020, The Nielsen Company (M) Sdn Bhd) 2. No. 1* in Total Malaysia in the Isotonic Segment in the Carbonated Soft Drink category [SECTION: Unknown]",segment revenue,4054.0,1.0,0,4054.0,4054.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3689_FN_2021,[MDA_P009],"At the same time, for ethical and health reasons, more people are converting to a plant-based diet. While they seek products that will enhance their wellbeing, consumers are also wary of false promises and seek science-based evidence to support claims made by F&B brands. The halal market has been gr",segment revenue,418391.6,90.0,0,418391.6,418391.6,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
MDA_3689_FN_2021,[MDA_P063],https://www.reuters.com/world/asia-paciﬁc/thailand-further-ease-coronavirus-restrictions-2021-09-27/ OUTLOOK Results • Maintained business continuity at all levels • Production was sufficient to meet demand • Achieved almost 100 per cent on-time performance by suppliers • Met all delivery commitment,segment revenue,-1948.0,2016.0,0,-1948.0,1948.0,material_discrepancy,parser_false_positive,segment_total_mismatch,0,mark large segment-table pairings as needs_manual_review
