document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7216_KAWAN_2024,REMOVED_001,Unknown,L60,Corporate Governance,,remove_header_footer,1,header_footer,medium
MDA_7216_KAWAN_2024,REMOVED_002,Unknown,L148,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_7216_KAWAN_2024,REMOVED_003,Unknown,L235,Corporate Governance,,remove_header_footer,1,header_footer,medium
MDA_7216_KAWAN_2024,REMOVED_004,Unknown,L283,ANNUAL REPORT 2024,,remove_header_footer,1,header_footer,medium
MDA_7216_KAWAN_2024,REMOVED_005,Unknown,L426,Corporate Governance,,remove_header_footer,1,header_footer,medium
MDA_7216_KAWAN_2024,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS As we reflect on 2024, I am proud to report that this has been a year of strategic transformation and resilient progress for our company. Amidst a dynamic operating environment, we remained steadfast in our mission to deliver high-quality frozen food pro","[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS As we reflect on 2024, I am proud to report that this has been a year of strategic transformation and resilient progress for our company. Amidst a dynamic operating environment, we remained steadfast in our mission to deliver high-quality frozen food products while laying the groundwork for a stronger, more sustainable future. A key milestone was the modernisation of our plant, where we adopted National Industrial Revolution 4.0 initiatives. The integration of automation, robotics, and IoT has improved our production efficiency and optimised operational costs. Our commitment to sustainability remains a core focus. Guided by Environmental, Social and Governance (""ESG"") principles, we have contributed meaningfully to the economic, environmental, and social pillars of our business, aligning our initiatives with the United Nations Sustainable Development Goals. We also prioritised our workforce, enhancing compensation and benefits to retain talent and improve productivity. At the same time, we continued applying LEAN manufacturing tools to drive efficiency and reduce waste.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P002,Unknown,B002,"[MDA_P002] These initiatives have strengthened our operations and positioned us for continued growth. As we move forward, we remain committed to operational excellence, innovation, and sustainable value creation. I extend my deepest gratitude to our employees, whose hard work, commitment, and belief","[MDA_P002] These initiatives have strengthened our operations and positioned us for continued growth. As we move forward, we remain committed to operational excellence, innovation, and sustainable value creation. I extend my deepest gratitude to our employees, whose hard work, commitment, and belief in our purpose have driven us forward. To our partners and shareholders, thank you for your continued trust and support as we navigate this exciting new chapter. Lim Hun Soon @ David Lim Chairman of the Board",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P003,Unknown,B003,"[MDA_P003] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good MANAGEMENT DISCUSSION AND ANALYSIS FY2024 was a year of strategic transformation and resilient progress for Kawan Food Berhad (""KFB""). Building on our past moment","[MDA_P003] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good MANAGEMENT DISCUSSION AND ANALYSIS FY2024 was a year of strategic transformation and resilient progress for Kawan Food Berhad (""KFB""). Building on our past momentum, we focused on consolidating operations, addressing legacy challenges, and laying a stronger foundation for sustainable growth. Despite navigating global uncertainties and cost pressures, we delivered steady performance through disciplined cost management, and targeted investments in efficiency and innovation. We are thrilled to report an impressive 10.6% revenue growth, reaching RM317.55 million – a clear testament to the robust demand for our products and the success of our operational refinements. Our export sales surged to RM181.56 million, reflecting our growing global footprint and effective market strategies. Meanwhile, domestic revenue grew by a steady 4.8% to RM135.99 million, reaffirming the enduring trust of our loyal domestic customers. On the profitability front, we saw a strong rebound, with profit before tax climbing to RM41.54 million—our highest record.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P004,Unknown,B004,"[MDA_P004] Despite foreign exchange volatility, we successfully navigated challenges through cost discipline, streamlined production at our Pulau Indah facility, and strategic exits from non-core markets. Operational Resilience and Financial Performance We saw a healthy rebound in export sales, whic","[MDA_P004] Despite foreign exchange volatility, we successfully navigated challenges through cost discipline, streamlined production at our Pulau Indah facility, and strategic exits from non-core markets. Operational Resilience and Financial Performance We saw a healthy rebound in export sales, which were supported by streamlined production at our Pulau Indah facility. The facility efficiently absorbed capacity after the strategic closure of our Nantong, China operations. We had a realignment of production levels with demand which addressed prior overstocking challenges and is contributing to healthy order growth. Our strategic focus on key export markets has yielded impressive results, with total sales increasing by 10.6% from RM287.22 million in FY2023 to RM317.55 million in FY2024. While we are proud that Malaysia continues to be our largest revenue contributor, at 42.8% of total sales, with domestic revenue growing steadily by 4.8% to RM135.99 million, we are particularly excited about our growth in other regions.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P005,Unknown,B005,"[MDA_P005] A special acknowledgment goes to our Export team, particularly for their exceptional focus on North America, achieving a remarkable 34.9% surge in sales to RM75.68 million, driven by strong market demand and successful expansion initiatives. Europe also performed strongly, with revenue in","[MDA_P005] A special acknowledgment goes to our Export team, particularly for their exceptional focus on North America, achieving a remarkable 34.9% surge in sales to RM75.68 million, driven by strong market demand and successful expansion initiatives. Europe also performed strongly, with revenue increasing by 24.6% to RM43.06 million, reflecting our expanding market presence and growing brand acceptance. In FY2024, the effective tax rate (24%) is higher than previous year due to full utilisation of reinvestment allowances. Importantly, our investments in new production lines and automations have enhanced output capabilities, demonstrating our commitment to operational excellence and ESG commitments. These investments have positioned us for better success in future. Performance Overview Revenue 2023: RM287.22 million RM317.55 million Malaysia RM135.99 million North America RM75.68 million Europe RM43.06 million",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P006,Unknown,B006,"[MDA_P006] KAWAN FOOD BERHAD MANAGEMENT DISCUSSION AND ANALYSIS Strategic Realignments and Risk Mitigation The Board’s decision to consolidate production underscores our focus on core competencies and agility. Additionally, workforce reviews were initiated to align headcount with evolving wage polic","[MDA_P006] KAWAN FOOD BERHAD MANAGEMENT DISCUSSION AND ANALYSIS Strategic Realignments and Risk Mitigation The Board’s decision to consolidate production underscores our focus on core competencies and agility. Additionally, workforce reviews were initiated to align headcount with evolving wage policies, ensuring cost efficiency ahead of Malaysia’s minimum wage increase in February 2025. We remain vigilant about emerging risks, including rising commodity prices, geopolitical shifts, and foreign exchange volatility. To address these, we are deepening partnerships with long-term suppliers, executing currency hedging strategies, and exploring alternative raw materials. Additionally, we are strengthening environmental and climate resilience through energyefficient upgrades and sustainable sourcing practices. Forward-Looking Strategies for Growth Looking ahead, KFB is committed to strengthening export resilience and expanding market reach. We aim to penetrate new regions in ASEAN and Europe. Affordable product lines tailored to cost-conscious consumers will complement this effort, supported by targeted marketing campaigns. Cost optimisation remains central to our strategy.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P007,Unknown,B007,"[MDA_P007] Automation investments will offset labour cost pressures. Our governance structure has been revitalised with a dynamic leadership team, blending seasoned expertise with fresh perspectives. Training programs will also play a crucial role in upskilling our workforce in automation and sustai","[MDA_P007] Automation investments will offset labour cost pressures. Our governance structure has been revitalised with a dynamic leadership team, blending seasoned expertise with fresh perspectives. Training programs will also play a crucial role in upskilling our workforce in automation and sustainability, ensuring we are future-ready. Outlook and Confidence in the Future The global appetite for frozen foods—valued for affordability and convenience—continues to grow. This positions KFB favourably for long-term success. While margin pressures from commodity costs and taxes persist, our investments in automation, market diversification, and ESG-aligned practices will bolster competitiveness edge. We are excited about the commissioning of new advanced paratha equipment in Q2 FY2025, alongside plans for affordable product launches, all of which support our growth ambitions. With a revitalised governance structure, a robust domestic base, and a clear roadmap for export, KFB is poised to navigate challenges and deliver sustained value to stakeholders. We extend our gratitude to employees, partners, and shareholders for their unwavering support as we build a resilient, forward-looking enterprise.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P008,Unknown,B008,"[MDA_P008] Dividend In FY2024, KFB reaffirmed its commitment to delivering consistent value to shareholders by distributing RM24.39 million in dividends (RM0.07 per share), paid across two tranches in April 2024 (RM14.70 million) and December 2024 (RM9.69 million). Building on this momentum, the Boa","[MDA_P008] Dividend In FY2024, KFB reaffirmed its commitment to delivering consistent value to shareholders by distributing RM24.39 million in dividends (RM0.07 per share), paid across two tranches in April 2024 (RM14.70 million) and December 2024 (RM9.69 million). Building on this momentum, the Board of Directors, during its recent meeting, resolved to declare a final dividend of RM0.02 per ordinary share for FY2024, payable in March 2025. This brings the total dividend for FY2024 to RM0.09 per share, reflecting our confidence in the Group’s financial resilience and longterm growth trajectory. Based on the closing share price of RM1.63 (as of 31 December 2024), the total dividend declared translates to an attractive dividend yield at 5.52%, significantly outpacing Malaysia’s average fixed deposit rate of 3.70%. This performance underscores our balanced approach to rewarding shareholders while reinvesting in sustainable business expansion.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P009,Unknown,B009,"[MDA_P009] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good MANAGEMENT DISCUSSION AND ANALYSIS GROUP FINANCIAL REVIEW Revenue (RM‘000) 254,703 251,770 274,762 287,215 317,549 7.79 8.84 10.70 8.37 9.03 Earnings Per Share (“","[MDA_P009] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good MANAGEMENT DISCUSSION AND ANALYSIS GROUP FINANCIAL REVIEW Revenue (RM‘000) 254,703 251,770 274,762 287,215 317,549 7.79 8.84 10.70 8.37 9.03 Earnings Per Share (“EPS”) (sen) 2.50 3.00 3.00 3.60 9.00 Dividend Declared Per Share (“DPS”) (sen) 32,015 36,656 40,144 34,266 41,536 Profit Before Tax (RM‘000) 27,652 31,785 38,478 30,129 31,418 Profit After Tax (RM‘000) 155,105 177,220 205,075 222,183 229,210 Retained Earnings (RM‘000)",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P010,Unknown,B010,"[MDA_P010] KAWAN FOOD BERHAD STATEMENTS OF PROFIT & LOSS (RM’000) Revenue 254,703 251,770 274,762 287,215 317,549 Profit Before Tax 32,015 36,656 40,144 34,266 41,536 Taxation 4,363 4,871 1,666 4,137 10,118 Profit After Tax 27,652 31,785 38,478 30,129 31,418 Non-Controlling Interests (365) - (21) - ","[MDA_P010] KAWAN FOOD BERHAD STATEMENTS OF PROFIT & LOSS (RM’000) Revenue 254,703 251,770 274,762 287,215 317,549 Profit Before Tax 32,015 36,656 40,144 34,266 41,536 Taxation 4,363 4,871 1,666 4,137 10,118 Profit After Tax 27,652 31,785 38,478 30,129 31,418 Non-Controlling Interests (365) - (21) - - Dividends paid 8,988 10,786 10,769 13,021 24,391 Retained Earnings (opening) 136,076 155,105 177,720 205,075 222,183 Retained Earnings (closing) 155,105 177,220 205,075 222,183 229,210 STATEMENTS OF FINANCIAL POSITION (RM’000) Issued and Paid-up Share Capital 179,760 179,760 184,889 184,889 187,531 Share Option Reserve - - - 2,190 3,618 Treasury Shares - - (1,345) (24,245) (38,381) Non-Distributable Reserve 10,143 11,364 8,248 8,148 7,673 Retained Earnings 155,105 177,220 205,075 222,183 229,210 Shareholders’ Fund 345,008 368,344 396,867 393,165 389,651 Non-Controlling Interests - - - Deferred Tax Liabilities 9,220 13,618 12,703 13,006 16,019 Long Term Borrowings 5,736 2,113 - - - 360,623 384,733 409,570 406,171 405,670 Property, Plant and Equipment, Investment Properties, Right-of-use assets, Prepaid Lease Payments, Investment in a Joint Venture 254,185 246,047 237,007 223,187 221,484 Deferred Tax Assets - Net Current Assets 105,952 138,222 172,099 182,520 184,186 360,623 384,733 409,570 406,171 405,670 MANAGEMENT DISCUSSION AND ANALYSIS",normalize_whitespace;renumber_paragraph,0,,high
MDA_7216_KAWAN_2024,MDA_P011,Unknown,B011,[MDA_P011] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good FINANCIAL RATIOS Revenue growth (%) 18.97 (1.15) 9.13 4.53 10.56 Current ratio (times) 2.89 3.75 4.36 4.34 4.55 Cash ratio (times) 1.42 1.76 1.92 1.91 1.38 P/E ra,"[MDA_P011] Kawan At A Glance This is Kawan Food Berhad Our Strategic Review Financial Statements Other Information Our Commitment to Good FINANCIAL RATIOS Revenue growth (%) 18.97 (1.15) 9.13 4.53 10.56 Current ratio (times) 2.89 3.75 4.36 4.34 4.55 Cash ratio (times) 1.42 1.76 1.92 1.91 1.38 P/E ratio (times) 26.69 18.55 20.75 21.56 18.89 Debt to Equity ratio - - - - - Basic earnings per share (sen) 7.79 8.84 10.70 8.37 9.03 Dividend declared per share (sen) 2.50 3.00 3.00 3.60 9.00 Net assets per share attributable to shareholders of the Company (RM) 0.96 1.03 1.09 1.08 1.07 Share Price – High (RM) 2.88 2.16 2.41 2.30 1.91 Share Price – Low (RM) 0.82 1.57 1.43 1.70 1.62 Share price at 31 December 2.08 1.64 2.22 1.80 1.63 Company market capitalisation (RM’000) 747,801 589,612 804,932 649,252 593,380 FIVE YEAR DIVIDEND PAYMENT AS % OF PROFIT AFTER TAX Profit After Tax (RM’000) 27,652 31,785 38,478 30,129 31,418 Dividend Paid (RM’000) 8,988 10,786 10,769 13,021 24,391 Dividend Payment as % of Profit after Tax 33% 34% 28% 43% 78% MANAGEMENT DISCUSSION AND ANALYSIS",normalize_whitespace;renumber_paragraph,0,,high
