document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5306_FFB_2023,REMOVED_001,Unknown,L76,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_002,Unknown,L122,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_003,Unknown,L163,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_004,Unknown,L192,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_005,Unknown,L283,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_006,Unknown,L331,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_007,Unknown,L406,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_008,Unknown,L473,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_009,Unknown,L547,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_010,Unknown,L643,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_011,Unknown,L733,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_012,Unknown,L787,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_013,Unknown,L919,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_014,Unknown,L1001,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_015,Unknown,L1078,the Company. Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_016,Unknown,L1264,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_017,Unknown,L1385,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,REMOVED_018,Unknown,L1458,Farm Fresh Berhad | Integrated Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_5306_FFB_2023,MDA_P001,Unknown,B001,[MDA_P001] Management Discussion and Analysis A. Strategic Review 62 Market Landscape – Key Market Trends 66 Key Risks and Mitigation 69 Material Matters 74 Our Strategic Priorities B. Financial Review 76 Group Financial Review 78 5-Year Group Financial Summary 79 5-Year Financial Highlights 80 Our ,[MDA_P001] Management Discussion and Analysis A. Strategic Review 62 Market Landscape – Key Market Trends 66 Key Risks and Mitigation 69 Material Matters 74 Our Strategic Priorities B. Financial Review 76 Group Financial Review 78 5-Year Group Financial Summary 79 5-Year Financial Highlights 80 Our Financial Snapshot 81 Statement of Financial Position 82 Investor Relations 87 Financial Calendar C. Operational Review 90 Farming 92 Manufacturing 96 Distribution HIGHLIGHTS: Strategic Review Financial Review pg62 pg76,normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P002,Business Review,B003,"[MDA_P003] In our commitment to drive sustained value creation, we thoroughly analyse and evaluate all market factors and developments that hold the potential to shape our operations. The strategies we craft to address these global megatrends and respond to the shifting industry landscape play a vit","[MDA_P003] In our commitment to drive sustained value creation, we thoroughly analyse and evaluate all market factors and developments that hold the potential to shape our operations. The strategies we craft to address these global megatrends and respond to the shifting industry landscape play a vital role in safeguarding the sustainability and performance of our business. Macroeconomic Challenges Description While the latest trends in the International Monetary Fund (IMF)’s Global Uncertainty Index indicate that uncertainty due to factors such as the COVID-19 pandemic and international trade tensions have contracted compared to last year, the Russia-Ukraine conflict remains the dominant contributor for global economic insecurity1. The ongoing war is likely to continue to cause volatility in commodities, materials and logistics costs. Meanwhile, the World Bank recently softened its stance on impending global recession, but forecasted global GDP growth of just 2.1% in 2023, well below the 3.1% in global growth recorded last year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P003,Business Review,B004,"[MDA_P004] Despite this, we believe the expected continued growth in demand for dairy products in Southeast Asia, coupled with expected higher economic growth overall in Southeast Asia than the global average provides optimism for our expansion plans. In Australia, strong domestic demand for milk pr","[MDA_P004] Despite this, we believe the expected continued growth in demand for dairy products in Southeast Asia, coupled with expected higher economic growth overall in Southeast Asia than the global average provides optimism for our expansion plans. In Australia, strong domestic demand for milk products, combined with limited Australia milk pool has resulted in Australia farmgate prices to continue to remain elevated. 1.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P004,Business Review,B005,"[MDA_P005] https://www.imf.org/en/Blogs/Articles/2023/01/26/global-economic-uncertainty-remainselevated-weighing-on-growth • Given the long-term nature of the headwinds and to counter the excessive impact of the input cost increases, we have increased our prices by an average of 5% in both August 20","[MDA_P005] https://www.imf.org/en/Blogs/Articles/2023/01/26/global-economic-uncertainty-remainselevated-weighing-on-growth • Given the long-term nature of the headwinds and to counter the excessive impact of the input cost increases, we have increased our prices by an average of 5% in both August 2022 and July 2023 for our chilled products in Malaysia, on top of a 10% price increase in Singapore in August 2022 • To counter the elevated Australia farmgate prices, we have already started to vary our milk mix by expanding further our farm capacities in both Malaysia and Australia • We closely monitor prices and stock levels to enable us to pre-emptively manage against supply and demand volatility • We are hedging our costs by locking in prices for our ingredients upfront for future deliveries as well as entering into forward contracts to hedge our foreign currency exposure OUR RESPONSE Key Stakeholders Material Matters Capitals M a n a g e m e n t D i s c u s s i o n & A n a l y s i s Strategic Review Market Landscape – Key Market Trends",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P005,Business Review,B006,"[MDA_P006] Transition to a Low-Carbon Economy Description The latest May 2023 update released by the World Meteorological Organization (WMO) has indicated that global temperatures will surge to record highs in the next five years, with a high chance of at least one year exceeding the 1.5°C above pre","[MDA_P006] Transition to a Low-Carbon Economy Description The latest May 2023 update released by the World Meteorological Organization (WMO) has indicated that global temperatures will surge to record highs in the next five years, with a high chance of at least one year exceeding the 1.5°C above pre-industrial levels that was specified in the Paris Agreement2. Given our reliance on resources and land, the dairy industry significantly contributes to global emissions, whether through methane released from cows, nitrous oxide from fertilisers, carbon dioxide from tillage or the use of fossil fuels for farming and processing. We have thus elevated the minimisation of our environmental impact as a key priority in order to promote sustainability within our industry, meet the expectations of our customers and stakeholders, and enhance the long-term potential of our business. 2.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P006,Business Review,B007,"[MDA_P007] https://public.wmo.int/en/media/press-release/global-temperatures-set-reach-new-recordsnext-five-years • After undertaking our first independent carbon footprint exercise for the year 2020 and taking steps to reduce our carbon footprint, we have then undertaken a second independent carbon","[MDA_P007] https://public.wmo.int/en/media/press-release/global-temperatures-set-reach-new-recordsnext-five-years • After undertaking our first independent carbon footprint exercise for the year 2020 and taking steps to reduce our carbon footprint, we have then undertaken a second independent carbon footprint inventory exercise to evaluate our performance for the calendar year 2022 and assess the progress that we have made over the years • We have also started utilising renewable energy with the commencement of our solar PV projects at our Muadzam Shah and Larkin farms, and a new rooftop solar facility slated for launch at our Taiping processing facility in early 2024 • We are also on track to launch a new biogas plant at our Muadzam Shah by the end of 2023, with an additional biogas plant planned for our Taiping farm • We continue to adopt regenerative agriculture practices across our farms to reduce our reliance on chemical fertilisers and curb methane emissions from animal waste, with a target of implementing regenerative agriculture practices across all our farms by 2024 OUR RESPONSE Key Stakeholders Material Matters Capitals",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P007,Business Review,B008,"[MDA_P008] Health & Wellness Description In the realm of health and wellness, we are acutely aware of the pressing health challenges confronting the younger generation in Malaysia, as underscored by the 2019 National Health and Morbidity Survey3 (“NHMS 2019”). Disturbingly, the prevalence of childho","[MDA_P008] Health & Wellness Description In the realm of health and wellness, we are acutely aware of the pressing health challenges confronting the younger generation in Malaysia, as underscored by the 2019 National Health and Morbidity Survey3 (“NHMS 2019”). Disturbingly, the prevalence of childhood obesity has surged from 6.1% in 2011 to an all-time high of 14.8% in 2019, surpassing rates in neighbouring countries like Thailand (7.8%), Vietnam (5%) and Indonesia (3.5%). Furthermore, the NHMS 2019 reported that 21.8% of children in Malaysia are stunted, a concerning issue as it significantly impacts their future adult height, as pointed out by experts like Professor Dr Muhammad Yazid Jalaludin, a senior consultant paediatric endocrinologist at Universiti Malaya Medical Centre. At the same time, findings from the South East Asian Nutrition Study (SEANUTS) has revealed that for urban children aged 7 to 12 years in six regions of Malaysia, 14.4% are overweight and 20.1% are obese.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P008,Business Review,B009,"[MDA_P009] The Ministry of Health is taking steps to address the issue and has implemented ten policies as of 2022 to improve national health, including measures like excise taxes on sugary beverages and restrictions on advertising unhealthy foods to children. Simultaneously, general health awarenes","[MDA_P009] The Ministry of Health is taking steps to address the issue and has implemented ten policies as of 2022 to improve national health, including measures like excise taxes on sugary beverages and restrictions on advertising unhealthy foods to children. Simultaneously, general health awareness continues to increase in the post-pandemic era, and informed consumers are beginning to seek healthier choices. In tandem, we aspire to spearhead the mission of changing the nutritional landscape for children by launching and promoting a growing up milk that features pure cow’s milk fortified with essential vitamins and nutrients crucial for children’s healthy development, without any unnecessary ingredients such as hidden sugar that would only worsen the issue of obesity and malnutrition among Malaysian children.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P009,Business Review,B010,"[MDA_P010] • We will stay true to our mission of delivering a wide variety of nutritious dairy-based products, which are free from preservatives, artificial flavorings, colorings and foreign substances, as we cement our position as Malaysia’s most trusted producer of dairy products • Recognising the","[MDA_P010] • We will stay true to our mission of delivering a wide variety of nutritious dairy-based products, which are free from preservatives, artificial flavorings, colorings and foreign substances, as we cement our position as Malaysia’s most trusted producer of dairy products • Recognising the market demand, we successfully launched a growing up milk for children, that is fortified with nutrients and free from preservatives, artificial flavouring, sugar, maltodextrin and other unnecessary ingredients. We will continue to expand our penetration within this market with the launch of a powder variant by end- • We launched two new plant-based products in FY2023, our Oat and Almond barista milk, and we will continue to introduce new products that meet the evolving needs and dietary restrictions of our consumers • We aim to continually grow and expand our market share and product range in the yoghurt category to capitalise on growing consumer consumption of probiotic rich dairy products OUR RESPONSE 3.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P010,Business Review,B011,[MDA_P011] https://iptk.moh.gov.my/images/technical_report/2020/4_Infographic_Booklet_NHMS_2019_-_English.pdf Key Stakeholders Material Matters Capitals M a n a g e m e n t D i s c u s s i o n & A n a l y s i s Strategic Review Market Landscape – Key Market Trends,[MDA_P011] https://iptk.moh.gov.my/images/technical_report/2020/4_Infographic_Booklet_NHMS_2019_-_English.pdf Key Stakeholders Material Matters Capitals M a n a g e m e n t D i s c u s s i o n & A n a l y s i s Strategic Review Market Landscape – Key Market Trends,normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P011,Business Review,B012,"[MDA_P012] Digitalisation & Industry 4.0 Description As digital technology and its applications continue to evolve, it is reshaping the FMCG and dairy sectors and transforming the way goods are manufactured, marketed and consumed. At the farm level, automation has emerged as a game-changer, reducing","[MDA_P012] Digitalisation & Industry 4.0 Description As digital technology and its applications continue to evolve, it is reshaping the FMCG and dairy sectors and transforming the way goods are manufactured, marketed and consumed. At the farm level, automation has emerged as a game-changer, reducing dependence on manual labour and delivering notable gains in time and cost efficiencies that ultimately benefits our financial performance. Moreover, the integration of data and analytics into farming practices empowers owners with valuable insights into weather patterns, crop conditions, animal health and other critical factors, enabling smarter decision-making processes. Moving downstream, the widespread adoption of digital sales and marketing channels by FMCG companies has proven instrumental in streamlining distribution costs and connecting with a new generation of tech-savvy consumers. The acceleration of this digital shift during the COVID-19 pandemic further underscores its significance and potential as a key growth avenue for the future.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P012,Business Review,B013,"[MDA_P013] As we explore and implement relevant technologies that enhance our operations, we proactively address the risk posed by emerging technologies introduced by both new market entrants and existing players, securing our competitive edge in the industry. • We have implemented Industry 4.0 tech","[MDA_P013] As we explore and implement relevant technologies that enhance our operations, we proactively address the risk posed by emerging technologies introduced by both new market entrants and existing players, securing our competitive edge in the industry. • We have implemented Industry 4.0 technology, including automated milking stations and a modern palletising system, with plans to expand their use for increased efficiency and productivity • To improve processing efficiency, we will continue to invest in advanced technology within our facilities to optimise production processes, reduce costs and enhance product quality OUR RESPONSE Key Stakeholders Material Matters Capitals",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P013,Business Review,B014,"[MDA_P014] Improper handling of our products throughout various stages, from milking to bottling and transportation, as well as any deficiencies in our production processes, can result in a significant decline in product quality and even impact consumer health. • We provide all staff with comprehens","[MDA_P014] Improper handling of our products throughout various stages, from milking to bottling and transportation, as well as any deficiencies in our production processes, can result in a significant decline in product quality and even impact consumer health. • We provide all staff with comprehensive product familiarisation training to promote correct handling of products • All staff, suppliers and third-party distributors undergo a food handling course twice a year • Production machinery is regularly checked for defects and quality levels • We align our processes with GMP and HACCP food safety and quality principles, which empower greater control of biological, chemical and physical hazards • Our processes strictly adhere to the parameters of our internally-developed Farm Fresh Food Safety Management System Mitigation Actions Material Matters: Capitals: Link to PRODUCTION & SUPPLY CHAIN DISRUPTION Given the public nature of our business and the substantial investments involved, any instances of non-compliance with regulations, be it related to product standards, labour practices, or environmental impact, can result in substantial financial losses and damage to our reputation.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5306_FFB_2023,MDA_P014,Business Review,B015,"[MDA_P015] • Our Internal Audit & Risk department undertakes thorough and regular audits on our adherence to national regulations to ensure compliance • We maintain active engagement with local, state and national authorities to ensure we remain apprised of any changes to regulations relevant to our","[MDA_P015] • Our Internal Audit & Risk department undertakes thorough and regular audits on our adherence to national regulations to ensure compliance • We maintain active engagement with local, state and national authorities to ensure we remain apprised of any changes to regulations relevant to our business Mitigation Actions Material Matters: Capitals: Link to NON-COMPLIANCE WITH REGULATIONS Due to the vertically integrated structure of our operations and their geographical diversity, we face various potential risks that can significantly impact our entire value chain. To address and minimise these risks, we employ a rigorous assessment and mitigation process, outlined below. Farm Fresh Berhad | Integrated Annual Report 2023 M a n a g e m e n t D i s c u s s i o n & A n a l y s i s Strategic Review Key Risks and Mitigation",normalize_whitespace;renumber_paragraph,0,,high
