document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5187_HBGLOB_2023,REMOVED_001,Unknown,L88,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_5187_HBGLOB_2023,REMOVED_002,Unknown,L194,ANNUAL REPORT 2023,,remove_header_footer,1,header_footer,medium
MDA_5187_HBGLOB_2023,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Overview of Business and Objectives HB Global Limited (“HBGL”) is principally an investment holding company and currently the Group has one active wholly owned subsidiary as below: 100% owned Subsidiary: (i) Shandong Hengbao Foodstuffs Co., Ltd. (“SHF”) ","[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS Overview of Business and Objectives HB Global Limited (“HBGL”) is principally an investment holding company and currently the Group has one active wholly owned subsidiary as below: 100% owned Subsidiary: (i) Shandong Hengbao Foodstuffs Co., Ltd. (“SHF”) – the main operating plant situated in China Our Group specializes in the processing, packaging, and production of a wide array of ready-to-serve foods, frozen vegetables, and other culinary products through our subsidiaries. Over the years, we have established ourselves as a leading gourmet convenient food specialist in China, equipped with advanced food processing technologies such as cleaning, slicing/cutting, blanching, boiling, frying, vacuum frying, steaming, smoking, stewing, and barbequing. We produce a diverse range of food materials and quick-frozen products, primarily catering to the needs of our customers and distributors. Additionally, we operate as an original equipment manufacturer (OEM) for third-party brands.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P002,Unknown,B002,"[MDA_P002] Our products are marketed both under our customers’ brands and our proprietary brands, including “Geleifu” (Green Food), “Hengbao Food,” “Qing Long Tan” (Asparagus Tea), and “The Four Seasons Farm”. Our product portfolio includes over 1,000 items, which are exported to more than 20 countr","[MDA_P002] Our products are marketed both under our customers’ brands and our proprietary brands, including “Geleifu” (Green Food), “Hengbao Food,” “Qing Long Tan” (Asparagus Tea), and “The Four Seasons Farm”. Our product portfolio includes over 1,000 items, which are exported to more than 20 countries, including Japan, the USA, Singapore, Australia, and Korea. Our products are accessible to a variety of users, from hypermarkets and tourist markets to food stalls and residential homes. At the heart of our operations is the principle of providing high-quality, affordable food products with unique flavors. Our commitment to technical excellence and stringent quality control standards has solidified our reputation as a premier food manufacturer. We maintain a comprehensive quality monitoring and control system, and our facilities are certified with international standards such as ISO 9001, ISO 22000, HACCP, FDA, and BRC. The Group believes that maintaining high quality is crucial for attracting and retaining customers. To support this belief, we are dedicated to enhancing the quality of our products, services, and processes, adopting industry best practices, and ensuring customer satisfaction.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P003,Unknown,B003,"[MDA_P003] Recognizing that customer preferences evolve, we continuously strive to monitor and refine our offerings to meet their changing needs. By prioritizing quality, the Group aims to fortify its market position and cultivate enduring relationships with its customers. Operation Overview HBGL Gr","[MDA_P003] Recognizing that customer preferences evolve, we continuously strive to monitor and refine our offerings to meet their changing needs. By prioritizing quality, the Group aims to fortify its market position and cultivate enduring relationships with its customers. Operation Overview HBGL Group’s revenue had increased by RMB3.9 million or approximately 4.9% from RMB76.1 million in financial year ended 31 December 2022 (“FYE2022”) to RMB80.0 million in financial year ended 31 December 2023 (“FYE2023”). The increase was mainly due to increase in sales of China subsidiary as during FYE2023, there was recovery from disruption in the production and supply chain due to lockdown in certain areas of China which have been affected with rising Covid 19 cases. The Group had a decrease in net loss before taxation to RMB47.9 million in FYE2023 as compared to RMB171.0 million in FYE2022. Dear Valued Shareholders, The following MD&A of the operating performance and financial condition of the Group for the twelve (12) months ended 31 December 2023 should be read in conjunction with the Audited Financial Statement for the year ended 31 December 2023 and related notes thereto.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P004,Unknown,B004,"[MDA_P004] The information presented in the MD&A, including information relating to comparative year in 2022, is presented in accordance with the Singapore Financial Reporting Standards (International) [SFRS(I)s], unless otherwise stated.","[MDA_P004] The information presented in the MD&A, including information relating to comparative year in 2022, is presented in accordance with the Singapore Financial Reporting Standards (International) [SFRS(I)s], unless otherwise stated.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P005,Unknown,B005,"[MDA_P005] HB GLOBAL LIMITED MANAGEMENT DISCUSSION AND ANALYSIS (cont’d) In order to maintain competitiveness in the current market conditions, it is essential for the Group to focus on improving its production planning and implementing rigorous quality control measures on its manufactured products.","[MDA_P005] HB GLOBAL LIMITED MANAGEMENT DISCUSSION AND ANALYSIS (cont’d) In order to maintain competitiveness in the current market conditions, it is essential for the Group to focus on improving its production planning and implementing rigorous quality control measures on its manufactured products. The Group is continuously monitoring and enhancing its production lines to ensure optimal efficiency. HBGL expenses are classified into five main components: costs of sales, selling and distribution expenses, administrative expenses, other expenses, and finance costs. In the year under review, costs of sales constituted the largest portion of the Group’s expenditure, accounting for 54.9% of total expenses. Given the potential risks posed by currency fluctuations and changing consumer behavior, HBGL has put in place effective contingency plans to mitigate such risks. To minimize costs, management has implemented a tight control operating model, while also leveraging technology to enhance operational efficiency.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P006,Unknown,B006,"[MDA_P006] Financial Review In the FYE2023, the Group’s revenue slightly increase by RMB 3.9 million or approximately 4.9% compared to the previous financial year, mainly attributable to increase sales by the China subsidiary. This shows the recovery from disruptions in the production and supply cha","[MDA_P006] Financial Review In the FYE2023, the Group’s revenue slightly increase by RMB 3.9 million or approximately 4.9% compared to the previous financial year, mainly attributable to increase sales by the China subsidiary. This shows the recovery from disruptions in the production and supply chain caused by lockdowns in certain areas of China that were affected by the rising number of Covid-19 cases. In addition, other income in FYE 2023 amounted to RMB7.9 million, which was considerably lower than the RMB14.1 million recorded in FYE 2022. Furthermore, the Group’s other operating expenses decreased from RMB137.3 million to RMB28.5 million, mainly due to higher impairment loss provided on property, plant and equipment and write off of intangible assets and prepayments of land use rights in FYE 2022. As a result, the Group incurred a net loss before taxation of RMB45.8 million in FYE 2023 compared to RMB167.7 million in FYE 2022, mainly due to significantly lower other operating expenses in FYE 2023. Financial Position As of December 31, 2023, the Company’s net assets amounted to approximately RMB162.4 million.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P007,Unknown,B007,"[MDA_P007] The decrease was mainly due to total comprehensive loss incurred amounted to RMB47.9 million in FYE 2023. Property, plant and equipment and intangible assets decreased by about RMB25.5 million and RMB7.7 million mainly due to impairment loss provided, depreciation and amortization in FYE ","[MDA_P007] The decrease was mainly due to total comprehensive loss incurred amounted to RMB47.9 million in FYE 2023. Property, plant and equipment and intangible assets decreased by about RMB25.5 million and RMB7.7 million mainly due to impairment loss provided, depreciation and amortization in FYE 2023. Decrease in trade and other receivables from RMB22.3 million to RMB13.4 million was mainly due to better average collection period from trade receivables. To preserve its financial stability and enhance competitiveness, the Group is committed to implementing robust cash flow management and improving revenue generation strategies to ensure a positive cash balance. Additionally, a key focus will be placed on reducing costs through several strategic initiatives. These include optimizing operational efficiency, increasing production capacity, and streamlining supply chain management processes. By adopting these measures, the Group will be able to allocate resources more effectively, thereby maintaining financial health amidst the challenging market conditions. These strategies are critical to our ongoing efforts to ensure sustainable growth and continued success in the industry.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P008,Unknown,B008,[MDA_P008] Business Strategics and Risk Factors The Research and Development division of our company is dedicated to enhancing product quality to meet growing consumer demands and maintain market competitiveness. Our focus centers on innovation and creativity to develop healthier options that resona,"[MDA_P008] Business Strategics and Risk Factors The Research and Development division of our company is dedicated to enhancing product quality to meet growing consumer demands and maintain market competitiveness. Our focus centers on innovation and creativity to develop healthier options that resonate with consumer preferences, all while upholding the highest standards of quality. In addition to these efforts, we are actively expanding our customer base through exploring new domestic and international markets, launching innovative products, and continuously improving product quality and variety. To align with shifts in the retail landscape, significant investments have been made in online shopping initiatives to bolster sales. Further strategic investments have been directed towards upgrading our factories and acquiring advanced machinery to boost production efficiency, reduce operational costs, and enhance profitability. These investments ensure our adherence to the latest technological advancements in the industry, helping us maintain a competitive edge.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P009,Unknown,B009,"[MDA_P009] HB GLOBAL LIMITED MANAGEMENT DISCUSSION AND ANALYSIS (cont’d) Given our role in the food industry, we are acutely aware of the risks associated with product quality and safety. To mitigate these risks, we have implemented rigorous policies and procedures for processing, plant and machiner","[MDA_P009] HB GLOBAL LIMITED MANAGEMENT DISCUSSION AND ANALYSIS (cont’d) Given our role in the food industry, we are acutely aware of the risks associated with product quality and safety. To mitigate these risks, we have implemented rigorous policies and procedures for processing, plant and machinery sanitation, and employee hygiene. Our strict adherence to quality systems and product traceability protocols underscores our commitment to preventing contamination and ensuring product safety. Acknowledging various business risks such as labour shortages, fluctuations in raw material prices, logistics costs, and national policies, our management team has taken comprehensive measures to mitigate these issues. These include forming partnerships with multiple suppliers, investing in advanced machinery and automation, and optimizing our logistics operations through technology solutions and strategic negotiations. To address the risk of changing national policies, we actively engage with government officials, expand operations internationally, and ensure compliance with all regulations.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5187_HBGLOB_2023,MDA_P010,Unknown,B010,"[MDA_P010] These proactive steps help us minimize exposure to policy shifts, maintaining our compliance and adapting to changes effectively. In conclusion, by actively managing these risks and continually investing in both product and operational advancements, our company strives to sustain its posi","[MDA_P010] These proactive steps help us minimize exposure to policy shifts, maintaining our compliance and adapting to changes effectively. In conclusion, by actively managing these risks and continually investing in both product and operational advancements, our company strives to sustain its position as a reliable and responsible manufacturer in the food industry, ensuring long-term profitability and success. Declaration of Dividends With the current financial position and further unknown challenges ahead, in view of financial prudence, no dividend is to be declared. Business Prospect The Group acknowledges that 2024 will be marked by persistent challenges and uncertainties, notably the ongoing Russia-Ukraine conflict, rising energy costs, supply chain disruptions, and the effects of climate change. Among these issues, the priority will be to effectively manage escalating materials costs in the long term. Despite these obstacles, there is optimism regarding the potential of the food industry. As global trade and economic conditions show signs of recovery, and restrictions ease, we have observed an increase in consumption.",normalize_whitespace;renumber_paragraph,0,,high
