document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7237_PWROOT_2023,MDA_P001,Unknown,B001,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS cont’d,[MDA_P001] MANAGEMENT DISCUSSION AND ANALYSIS cont’d,normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P002,Unknown,B002,"[MDA_P002] AR 2023 China and Hong Kong were among the last countries to reopen their borders, with China doing so on 1 January 2023 and Hong Kong in February 2023. There was little movement in our activities in these countries for FY 2023 but we have observed that economic recovery is underway and w","[MDA_P002] AR 2023 China and Hong Kong were among the last countries to reopen their borders, with China doing so on 1 January 2023 and Hong Kong in February 2023. There was little movement in our activities in these countries for FY 2023 but we have observed that economic recovery is underway and we expect our activities to pick up further in the year ahead. PRODUCTION Improved production efficiency and capacity, reduce downtime, improved supply chain and inventory management and better management of labour costs were some of the Group’s operational achievements in FY 2023. Production Facilities and Product Management We increased the instant powder (IP) production capacity at our plant with the commencement of an additional 10-lane machine which had its first commercial run in producing Alicafé Black Gold (2g pure coffee) in November 2022. This investment resulted in an increase in IP production capacity by 6%. Beverage capacity was also increased with an additional deionised water station installed for our canning lines.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P003,Unknown,B003,"[MDA_P003] The additional deionisation water station resulted in an increase in annual beverage capacity from 2.9 million cartons per year to 3.3 million cartons per year, an increase of 14%.","[MDA_P003] The additional deionisation water station resulted in an increase in annual beverage capacity from 2.9 million cartons per year to 3.3 million cartons per year, an increase of 14%.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P004,Unknown,B004,"[MDA_P004] Furthermore, Power Root has enhanced our production capability with our own newly-commissioned coffee bean roasting plant which will enable us to produce micro ground coffee as raw material for our products. This capability gives us the option of producing assorted varieties of coffee in ","[MDA_P004] Furthermore, Power Root has enhanced our production capability with our own newly-commissioned coffee bean roasting plant which will enable us to produce micro ground coffee as raw material for our products. This capability gives us the option of producing assorted varieties of coffee in the future. As a start, we are focusing on the production of our own black coffee. Talent Recruitment and Workforce Efficiency Such investments and production efficiencies are partially the result of successful recruitment of experienced personnel with the right skills and knowledge and are able to advise on increasing and optimising in output, alleviate bottlenecks on the line, and streamline processes and workflow. The Group improved its workforce efficiencies this financial year with the resumption of foreign worker availability. Previously, closed borders and restrictions had brought about increased competition for eligible local workers resulting in a low-supply, high-wages labour market. The return of foreign workers (principally Nepalese workers) has led to better workforce management and will help in cost management.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P005,Unknown,B005,"[MDA_P005] Although COVID-19 is no longer the threat it was in the past few years, Power Root continues to exercise caution with bi-monthly testing requirements and continuing with relevant standard operating procedures (SOPs) to minimise the potential spread across our operations. FINANCIAL REVIEW ","[MDA_P005] Although COVID-19 is no longer the threat it was in the past few years, Power Root continues to exercise caution with bi-monthly testing requirements and continuing with relevant standard operating procedures (SOPs) to minimise the potential spread across our operations. FINANCIAL REVIEW REVENUE LOCAL (RM’million) EXPORT (RM’million) TOTAL (RM’million) FY 2023 262.7 193.1 455.8 FY 2022 204.1 143.8 347.9 For the FY 2023, the Group recorded revenue of RM455.8 million, an increase of approximately 31.0% from the revenue of RM347.9 million recorded in FYE 2022. This increase was attributed to multiple factors, including higher local sales driven by the market’s recovery, improved operational efficiencies across all internal departments and revision of the product selling price for our markets. PROFIT AFTER TAX (“PAT”) For the FY 2023, the Group recorded a PAT of RM59.5 million, an increase of 125.9% from the PAT of RM26.3 million in FYE 2022. The increase in PAT was attributed by the higher sales revenue and improved operational efficiencies.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P006,Unknown,B006,"[MDA_P006] STATEMENT OF FINANCIAL STATEMENT REVENUE FY 2023 (RM’000) FY 2022 (RM’000) Total Assets 438,153 386,382 Equity attributable to the owners of the Company 289,603 266,618 Total Liabilities 147,804 119,703 Borrowings 31,314 19,922 Gearing (times) 0.108 0.075 The Total Assets of the Group inc","[MDA_P006] STATEMENT OF FINANCIAL STATEMENT REVENUE FY 2023 (RM’000) FY 2022 (RM’000) Total Assets 438,153 386,382 Equity attributable to the owners of the Company 289,603 266,618 Total Liabilities 147,804 119,703 Borrowings 31,314 19,922 Gearing (times) 0.108 0.075 The Total Assets of the Group increased by RM51.8 million in FY 2023 mainly due to higher inventories, trade and other receivables, and purchase of property, plant and equipment. The Total Liabilities of the Group increased by RM28.1 million in FY 2023 mainly due to increase in loans and borrowings and higher trade and other payables. MANAGEMENT DISCUSSION AND ANALYSIS cont’d",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P007,Unknown,B007,"[MDA_P007] POWER ROOT BERHAD REGISTRATION NUMBER: 200601013517 (733268-U) With a low gearing of 0.108 as at 31 March 2023, the Group’s financial position remains sound. DIVIDENDS Financial Year Dividend Per Share (“DPS”) (sen) 11.75 5.40 6.50 12.50 8.00 On 12 October 2022, the Group paid a first int","[MDA_P007] POWER ROOT BERHAD REGISTRATION NUMBER: 200601013517 (733268-U) With a low gearing of 0.108 as at 31 March 2023, the Group’s financial position remains sound. DIVIDENDS Financial Year Dividend Per Share (“DPS”) (sen) 11.75 5.40 6.50 12.50 8.00 On 12 October 2022, the Group paid a first interim single tier dividend of 2.0 sen per ordinary share and a special interim single tier dividend of 1.0 sen per ordinary share amounting to RM12.5 million in respect of the current financial year. On 5 January 2023, the Group paid a second interim single tier dividend of 2.0 sen per ordinary share and a special interim single tier dividend of 1.0 sen per ordinary share amounting to RM 12.6 million in respect of the current financial year. On 7 April 2023, the Group paid a third interim single tier dividend of 2.0 sen per ordinary share and a special interim single tier dividend of 0.25 sen per ordinary share amounting to RM9.6 million in respect of the current financial year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P008,Unknown,B008,"[MDA_P008] On 3 July 2023, the Group paid a fourth interim single tier dividend of 2.0 sen per ordinary share and a special interim single tier dividend of 1.5 sen per ordinary share amounting to RM15.8 million in respect of the current financial year. The Board did not recommend the payment of any ","[MDA_P008] On 3 July 2023, the Group paid a fourth interim single tier dividend of 2.0 sen per ordinary share and a special interim single tier dividend of 1.5 sen per ordinary share amounting to RM15.8 million in respect of the current financial year. The Board did not recommend the payment of any final dividend in respect of the FY 2023. As such, the total dividends paid for FY 2023 is 11.75 sen per ordinary share amounting to RM50.5 million, representing a dividend pay-out ratio of approximately 84.9%. The Group’s dividend policy is to maintain a minimum of 50% dividend pay-out ratio. Since our listing on Bursa Malaysia Securities Berhad in 2007, the Group has paid out a total of RM437.0 million in dividends, representing a dividend pay-out ratio of approximately 86.4%. It is our intention to continue to reward our shareholders for their loyalty and participation in our growth. BUSINESS OUTLOOK Power Root will continue with our push for excellence in performance and business sustainability in the coming financial year, with financial and operational discipline being a priority.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P009,Unknown,B009,"[MDA_P009] The ROI mindset is being embedded across all departments – manufacturing, supply chain, Research & Development, Marketing, Sales and all support functions – and we will continue to focus on it. While we have improved efficiency in the past few years, there are still measures to be taken t","[MDA_P009] The ROI mindset is being embedded across all departments – manufacturing, supply chain, Research & Development, Marketing, Sales and all support functions – and we will continue to focus on it. While we have improved efficiency in the past few years, there are still measures to be taken to optimise our operations. The Group will continue to utilise technology in this respect. The Sales Force Automation system which we have started using will be fully implemented this coming financial year; we also plan to roll out the Route-to-Market software which will assist our sales team in optimising route planning for better effectiveness when making site visits. A proof of delivery system which tracks on-time deliveries will also be implemented this year. On the manufacturing floor, we are looking at more effective utilisation of manpower, streamlining measures, and further material wastage reduction. We will also explore new marketing streams and collaborative partnership which are advantageous in promoting our brands. Ultimately, Power Root will be adaptable to meet changing consumer demand for quality products which gives good value for money, and nimble in adjusting to market changes.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7237_PWROOT_2023,MDA_P010,Unknown,B010,"[MDA_P010] AREAS OF RISK The uncertain global economic outlook raises pricing and supply risk concerns, with rising inflation expected to influence raw material and labour costs. Power Root is taking measures to manage its impact through sourcing and costing initiatives; however, our business is hig","[MDA_P010] AREAS OF RISK The uncertain global economic outlook raises pricing and supply risk concerns, with rising inflation expected to influence raw material and labour costs. Power Root is taking measures to manage its impact through sourcing and costing initiatives; however, our business is highly sensitive to commodity prices and supply. Similarly, we are not immune to foreign exchange fluctuations although hedging measures are in place. The prolonged war in the Ukraine and domestic economic cost-of-living factors are also potential areas of concern. MANAGEMENT DISCUSSION AND ANALYSIS cont’d",normalize_whitespace;renumber_paragraph,0,,high
