document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_7167_ABLEGLOB_2023,REMOVED_001,Unknown,L68,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_7167_ABLEGLOB_2023,REMOVED_002,Unknown,L202,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_7167_ABLEGLOB_2023,REMOVED_003,Unknown,L362,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_7167_ABLEGLOB_2023,REMOVED_004,Unknown,L602,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_7167_ABLEGLOB_2023,REMOVED_005,Unknown,L830,Annual Report 2023,,remove_header_footer,1,header_footer,medium
MDA_7167_ABLEGLOB_2023,MDA_P001,Unknown,B001,[MDA_P001] management discussion and Analysis The Statement on Management Discussion and Analysis (“MD&A”) provides an insight of the financial performance of Able Global Berhad (“AGB”) and its subsidiaries (“the Group”) for the financial year ended 31 December 2023 (“FYE 2023”). This MD&A also cont,"[MDA_P001] management discussion and Analysis The Statement on Management Discussion and Analysis (“MD&A”) provides an insight of the financial performance of Able Global Berhad (“AGB”) and its subsidiaries (“the Group”) for the financial year ended 31 December 2023 (“FYE 2023”). This MD&A also contains information on the Group’s overview of business and operations, current financial position, reviewing of operating activities, assessing the operational risks faced by the Group and discussing the future prospect of the Group. 1. OVERVIEW OF BUSINESS AND OPERATIONS",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P002,Unknown,B002,[MDA_P002] A. Business and Operations,[MDA_P002] A. Business and Operations,normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P003,Unknown,B003,[MDA_P003] AGB was incorporated in Malaysia on 22nd November 2000. It was subsequently listed on the Second Board of Kuala Lumpur Stock Exchange in 2003 and transferred to the Main Board of Bursa Malaysia Securities Berhad in 2006.,[MDA_P003] AGB was incorporated in Malaysia on 22nd November 2000. It was subsequently listed on the Second Board of Kuala Lumpur Stock Exchange in 2003 and transferred to the Main Board of Bursa Malaysia Securities Berhad in 2006.,normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P004,Unknown,B004,"[MDA_P004] AGB is an investment holding company with its subsidiaries engaging in Tin Cans Manufacturing (“Tin Cans”) and the Food and Beverage (“F&B”) segments. The Tin Cans segment involves manufacturing of various tins, cans and other containers and providing tinplates printing services. The F&B ","[MDA_P004] AGB is an investment holding company with its subsidiaries engaging in Tin Cans Manufacturing (“Tin Cans”) and the Food and Beverage (“F&B”) segments. The Tin Cans segment involves manufacturing of various tins, cans and other containers and providing tinplates printing services. The F&B segment involves manufacturing and selling of milk and other related dairy products, as well as packing and trading of all types of dairy products.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P005,Unknown,B005,"[MDA_P005] For Tin Cans segment, most of the customers are locally based, with minor market share in Singapore. The customer base consists of various industries mainly in biscuit, paint and chemical, edible oil and food processing industries. As for the tinplates printing services, most of the print","[MDA_P005] For Tin Cans segment, most of the customers are locally based, with minor market share in Singapore. The customer base consists of various industries mainly in biscuit, paint and chemical, edible oil and food processing industries. As for the tinplates printing services, most of the printing services are exported within South-East Asia market as well as local market.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P006,Unknown,B006,"[MDA_P006] Whilst for F&B segment, approximately 80% of the dairy products are exported, mainly to West Africa, South-East Asia Region and American Continent. The dairy products comprise of sweetened condensed milk, evaporated milk, UHT full cream plus flavoured milk as well as milk powder packed in","[MDA_P006] Whilst for F&B segment, approximately 80% of the dairy products are exported, mainly to West Africa, South-East Asia Region and American Continent. The dairy products comprise of sweetened condensed milk, evaporated milk, UHT full cream plus flavoured milk as well as milk powder packed in both bulk and consumer packs. 2. REVIEW OF FINANCIAL RESULTS AND FINANCIAL CONDITION",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P007,Unknown,B007,"[MDA_P007] For FYE 2023, the Group achieved revenue of RM648.09 million as compared to RM549.82 million in the previous financial year, an increase of RM98.27 million. Profit before tax increased by RM26.39 million to RM69.19 million as compared to RM42.80 million in the previous financial year.","[MDA_P007] For FYE 2023, the Group achieved revenue of RM648.09 million as compared to RM549.82 million in the previous financial year, an increase of RM98.27 million. Profit before tax increased by RM26.39 million to RM69.19 million as compared to RM42.80 million in the previous financial year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P008,Unknown,B008,"[MDA_P008] For Tin Cans segment, the revenue decreased by RM6.95 million to RM117.18 million from RM124.13 million mainly due to lower sales demand in current year.","[MDA_P008] For Tin Cans segment, the revenue decreased by RM6.95 million to RM117.18 million from RM124.13 million mainly due to lower sales demand in current year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P009,Unknown,B009,"[MDA_P009] As for the F&B segment, the revenue increased by RM105.21 million to RM530.91 million from RM425.70 million mainly due to the increase in the sales demand from the customers.","[MDA_P009] As for the F&B segment, the revenue increased by RM105.21 million to RM530.91 million from RM425.70 million mainly due to the increase in the sales demand from the customers.",normalize_whitespace;renumber_paragraph,0,,high
MDA_7167_ABLEGLOB_2023,MDA_P010,Unknown,B010,[MDA_P010] Profit before tax of Tin Cans segment decreased by RM7.79 million to RM18.59 million from RM26.38 million is in line with the decrease in revenue and increase in cost of production in current year.,[MDA_P010] Profit before tax of Tin Cans segment decreased by RM7.79 million to RM18.59 million from RM26.38 million is in line with the decrease in revenue and increase in cost of production in current year.,normalize_whitespace;renumber_paragraph,0,,high
