document_id,ticker,company_name,report_year,dimension_code,raw_score,evidence_locator,evidence_exists,evidence_text_short,evidence_semantic_status,evidence_issue_type,score_evidence_alignment,needs_review,recommended_action
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,AR01,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The Group serves businesses of all sizes across a broa",strong,none,aligned,false,accept
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,AR02,3,[MDA_P003],true,MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED) investments on production facilities to improve capacity and efficiency. These business plans were carried out after the Group had carefully conducted comprehensive evaluation and planning involving suitable marketing strategies for ,acceptable,numeric_review_required,partial,false,manual_review
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,AR03,2,[MDA_P003],true,MANAGEMENT DISCUSSION AND ANALYSIS (CONTINUED) investments on production facilities to improve capacity and efficiency. These business plans were carried out after the Group had carefully conducted comprehensive evaluation and planning involving suitable marketing strategies for ,strong,none,aligned,false,accept
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,AR04,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The Group serves businesses of all sizes across a broa",strong,none,aligned,false,accept
MDA_0012_3A_2020,3A,Three-A Resources Berhad,2020,AR05,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS OUR PRODUCT PORTFOLIO • Liquid Caramel, Caramel Colour • Vinegar • Glucose Syrup, High Maltose Syrup • Soya Protein Sauce (“HVP”) • Hydrolysed Vegetable Protein (“HVP”) Powder • Maltodextrin The Group serves businesses of all sizes across a broa",strong,none,aligned,false,accept
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,AR01,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic had dramatically changed our way of life. Although m",strong,none,aligned,false,accept
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,AR02,4,[MDA_P002],true,"However, hopes are high as our country was ramping up the vaccination drive together with booster shots for all adults as well as certain groups of children now. But the emergence of new variants had dashed hope to achieving herd immunity and now it would be unrealistic to expect",acceptable,numeric_review_required,partial,false,manual_review
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,AR03,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic had dramatically changed our way of life. Although m",strong,none,aligned,false,accept
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,AR04,4,[MDA_P005],true,The Group intends to continue investing in research and development projects to increase the range and appeal of our products. The increase of revenue from our export sales to overseas markets demonstrated the wide acceptance of our products in the global landscape. It is importa,strong,none,aligned,false,accept
MDA_0012_3A_2021,3A,Three-A Resources Berhad,2021,AR05,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS REVENUE 10% Malaysia Singapore Other countries Revenue by Geographical Locations for FY2021 BUSINESS OVERVIEW The year 2021 was truly another extraordinary year. For one, the COVID-19 pandemic had dramatically changed our way of life. Although m",strong,none,aligned,false,accept
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,AR01,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS INDUSTRY OVERVIEW As we reflected on the unparalleled pace of change from the domino impact of COVID-19, companies need to evolve to overcome challenges in order to achieve their business objectives and to shape a better world for all. 3A Group ",strong,none,aligned,false,accept
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,AR02,3,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS INDUSTRY OVERVIEW As we reflected on the unparalleled pace of change from the domino impact of COVID-19, companies need to evolve to overcome challenges in order to achieve their business objectives and to shape a better world for all. 3A Group ",acceptable,numeric_review_required,partial,false,manual_review
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,AR03,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS INDUSTRY OVERVIEW As we reflected on the unparalleled pace of change from the domino impact of COVID-19, companies need to evolve to overcome challenges in order to achieve their business objectives and to shape a better world for all. 3A Group ",strong,none,aligned,false,accept
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,AR04,4,[MDA_P015],true,"In reviewing new revenue stream, 3A employs its risk management process on risk identification, impact assessment, profiling matrix and the mitigation plans, based on the general principles of the international risk management framework. The Risk Management Committee continues to",strong,none,aligned,false,accept
MDA_0012_3A_2022,3A,Three-A Resources Berhad,2022,AR05,2,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS INDUSTRY OVERVIEW As we reflected on the unparalleled pace of change from the domino impact of COVID-19, companies need to evolve to overcome challenges in order to achieve their business objectives and to shape a better world for all. 3A Group ",strong,none,aligned,false,accept
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,AR01,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Revenue RM 603.9 million Profit After Tax (PAT) RM 45.2 million 1.0 Three-A Resources Management Discussion & Analysis Business Overview Three-A Resources Berhad (""3A"" or ""the Company"") is an investment holding company that has been publicly lis",strong,none,aligned,false,accept
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,AR02,3,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Revenue RM 603.9 million Profit After Tax (PAT) RM 45.2 million 1.0 Three-A Resources Management Discussion & Analysis Business Overview Three-A Resources Berhad (""3A"" or ""the Company"") is an investment holding company that has been publicly lis",acceptable,numeric_review_required,partial,false,manual_review
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,AR03,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Revenue RM 603.9 million Profit After Tax (PAT) RM 45.2 million 1.0 Three-A Resources Management Discussion & Analysis Business Overview Three-A Resources Berhad (""3A"" or ""the Company"") is an investment holding company that has been publicly lis",strong,none,aligned,false,accept
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,AR04,4,[MDA_P003],true,"This moderation stemmed from various external challenges, including a slowdown in global trade, the impact of the global tech downcycle, geopolitical tensions, and the implementation of tighter monetary policies. In spite of this, the outlook for 2024’s growth according to Bank N",strong,none,aligned,false,accept
MDA_0012_3A_2023,3A,Three-A Resources Berhad,2023,AR05,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Revenue RM 603.9 million Profit After Tax (PAT) RM 45.2 million 1.0 Three-A Resources Management Discussion & Analysis Business Overview Three-A Resources Berhad (""3A"" or ""the Company"") is an investment holding company that has been publicly lis",strong,none,aligned,false,accept
MDA_0012_3A_2024,3A,Three-A Resources Berhad,2024,AR01,4,[MDA_P001],true,"MANAGEMENT DISCUSSION AND ANALYSIS Profit After Tax (PAT) (RM'000) RM43,449 Revenue (RM'000) RM557,116 Industry Overview Three-A Resources Berhad (""3A"" or ""the Group"") continues to strengthen its position as a manufacturer of high-quality food and beverage ingredients. In line wi",strong,none,aligned,false,accept
