document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_4065_PPB_2020,REMOVED_001,Unknown,L166,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_4065_PPB_2020,REMOVED_002,Unknown,L314,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_4065_PPB_2020,MDA_P001,Unknown,B001,"[MDA_P001] Financial Review 4,190,690 1,420,933 4,683,776 1,271,628 The Group achieved total revenue of RM4.19 billion, 11% lower than FY2019. This was mainly attributable to lower revenue from the Film exhibition and distribution segment. Group pre-tax profit was higher by 12% to RM1.42 billion for","[MDA_P001] Financial Review 4,190,690 1,420,933 4,683,776 1,271,628 The Group achieved total revenue of RM4.19 billion, 11% lower than FY2019. This was mainly attributable to lower revenue from the Film exhibition and distribution segment. Group pre-tax profit was higher by 12% to RM1.42 billion for FY2020 (FY2019: RM1.27 billion), mainly due to higher contribution from Wilmar at RM1.24 billion (FY2019: RM960 million). Profit attributable to owners of the parent amounted to RM1.32 billion, and earnings per share was 14.3% higher at 92.6 sen (FY2019: 81.0 sen). Financial performance by business segments Grains and agribusiness Consumer products Film exhibition and distribution Environmental engineering and utilities Property Group financial position Revenue (RM’000) Profit before tax (RM’000) Profit attributable to shareholders (RM’000) Earnings per share (sen) 1,316,961 1,152,551 92.6 81.0 Segment revenue remained relatively unchanged at RM3.29 billion (FY2019: RM3.30 billion). Segment profit increased by 28% to RM272 million (FY2019: RM213 million) mainly attributable to lower raw material costs and higher share of profit from associates.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P002,Unknown,B002,"[MDA_P002] Segment revenue (RM’000) Segment profit (RM’000) 3,291,130 3,304,147 271,682 213,010 Segment revenue was relatively unchanged at RM628 million (FY2019: RM627 million). Segment profit was higher at RM32 million (FY2019: RM647,000). The increase was mainly attributable to a one-off gain of ","[MDA_P002] Segment revenue (RM’000) Segment profit (RM’000) 3,291,130 3,304,147 271,682 213,010 Segment revenue was relatively unchanged at RM628 million (FY2019: RM627 million). Segment profit was higher at RM32 million (FY2019: RM647,000). The increase was mainly attributable to a one-off gain of RM21 million on step-acquisition of an associate and better performance at the bakery division. Segment revenue (RM’000) Segment profit (RM’000) 628,275 627,440 31,548 Segment revenue was lower by 3% at RM190 million (FY2019: RM195 million). Segment profit was 28% higher at RM14 million (FY2019: RM11 million), mainly attributable to share of profit from joint venture (a onetime impairment of RM8.9 million of an overseas joint venture was made in FY2019). Excluding that, segment performance was affected by slower project activities. Segment revenue (RM’000) Segment profit (RM’000) 189,543 194,839 14,382 11,272 Segment revenue was lower at RM114 million (FY2019: RM556 million). The segment recorded a loss of RM136 million (FY2019: profit of RM67 million). Segment results were significantly impacted by reduced admissions, intermittent closure of cinemas and deferment of movie titles during the year.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P003,Unknown,B003,"[MDA_P003] Segment revenue (RM’000) Segment (loss)/profit (RM’000) 114,255 556,127 (135,598) 66,838 Segment revenue and profit was at RM67 million (FY2019: RM65 million) and RM4 million (FY2019: RM14 million) respectively. The lower segment profit was mainly due to lower rental income and the absenc","[MDA_P003] Segment revenue (RM’000) Segment (loss)/profit (RM’000) 114,255 556,127 (135,598) 66,838 Segment revenue and profit was at RM67 million (FY2019: RM65 million) and RM4 million (FY2019: RM14 million) respectively. The lower segment profit was mainly due to lower rental income and the absence of a one-time gain on disposal of property of RM4.7 million recorded in FY2019. Segment revenue (RM’000) Segment profit (RM’000) 67,046 64,635 3,940 13,891 Total assets Total liabilities Net assets per share (RM) The Group’s total assets increased by 5.5% to RM24.9 billion as at 31 December 2020. This was mainly attributable to the increase in share of net assets in Wilmar. Group total liabilities decreased by 7.7% to RM1.34 billion as at 31 December 2020. The decrease was mainly due to a decrease in trade and other payables by RM280 million to RM368 million, partially offset by an increase in borrowings by RM120 million to RM481 million. Net assets per share stood at RM16.04 as at 31 December 2020.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P004,Unknown,B004,"[MDA_P004] 24,883,658 1,337,213 16.04 23,579,757 1,448,966 15.07 (RM’000) Group cash and cash equivalents Group cash and cash equivalents remained strong at Group bank borrowings Group bank borrowings increased by RM120 million to RM481 million as at 31 December 2020. About 94% of the Group’s bank b","[MDA_P004] 24,883,658 1,337,213 16.04 23,579,757 1,448,966 15.07 (RM’000) Group cash and cash equivalents Group cash and cash equivalents remained strong at Group bank borrowings Group bank borrowings increased by RM120 million to RM481 million as at 31 December 2020. About 94% of the Group’s bank borrowings were trade finance facilities. 99% of the Group’s bank borrowings are unsecured and bear variable interest rates. 84% or RM405 million are foreign currency denominated working capital loans for the foreign operations of the Grains and Agribusiness segment; these are mainly in Indonesian Rupiah, Vietnamese Dong and United States Dollars. Group capital expenditure The Group incurred total capital expenditure of RM109 million in FY2020.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P005,Unknown,B005,"[MDA_P005] Major areas of spend are as follows: RM1.42 billion (FY2019: RM1.50 billion) RM52 million in the Grains and agribusiness segment, mainly for the construction of new flour milling plants and upgrading of the flour and feed milling plants; RM22 million in the Film exhibition and distributio","[MDA_P005] Major areas of spend are as follows: RM1.42 billion (FY2019: RM1.50 billion) RM52 million in the Grains and agribusiness segment, mainly for the construction of new flour milling plants and upgrading of the flour and feed milling plants; RM22 million in the Film exhibition and distribution segment for the opening of new cinemas, upgrading of existing cinemas and acquisition of film rights; RM18 million in the Property segment, mainly for the construction of investment properties; and RM15 million in the Consumer products segment, mainly for the construction of a frozen food production factory.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P006,Unknown,B006,"[MDA_P006] P E R FO R M A N C E R E V I E W M E S S A G E S F R O M OUR L EADERS PPB Group Berhad Group Financial Highlights RM Million RM Million Change % INCOME STATEMENT Revenue 4,191 4,684 (10.5) Profit before taxation 1,421 1,272 11.7 Profit after taxation 1,363 1,199 13.7 Profit attributable t","[MDA_P006] P E R FO R M A N C E R E V I E W M E S S A G E S F R O M OUR L EADERS PPB Group Berhad Group Financial Highlights RM Million RM Million Change % INCOME STATEMENT Revenue 4,191 4,684 (10.5) Profit before taxation 1,421 1,272 11.7 Profit after taxation 1,363 1,199 13.7 Profit attributable to owners of the parent 1,317 1,153 14.2 STATEMENT OF FINANCIAL POSITION Equity attributable to owners of the parent 22,818 21,435 6.5 Total equity 23,546 22,131 6.4 RATIOS Return on equity attributable to owners of the parent (%) 5.77 5.38 Earnings per share (sen) 92.57 81.02 Debt to equity ratio (times) 0.02 0.02 Net assets per share (RM) 16.04 15.07 Dividend per share (sen) 46.00 31.00 Share price - 31 December (RM) 18.52 18.84 Managing Director’s Review ANALYSIS OF THE GROUP’S TOP RISKS With the multitude of challenges in our various businesses, the identification and management of risks is important to ensure business sustainability. For a conglomerate like PPB Group, minimal disruption to the value creation process for stakeholders is imperative.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P007,Unknown,B007,"[MDA_P007] The Group has identified the following top five risks that must be managed to ensure its continued long-term success: GROUP OUTLOOK & PROSPECTS FOR 2021 The Malaysian economy recorded negative growth of 3.4% in the fourth quarter of 2020, as economic recovery was affected by a resurgence ","[MDA_P007] The Group has identified the following top five risks that must be managed to ensure its continued long-term success: GROUP OUTLOOK & PROSPECTS FOR 2021 The Malaysian economy recorded negative growth of 3.4% in the fourth quarter of 2020, as economic recovery was affected by a resurgence in Covid-19 cases and the introduction of targeted containment measures in several states. Overall performance of the year was a negative of 5.6% following global restraint orders and border closures. For 2021, we believe that the impact will be less severe than in 2020, although we expect near term growth to be affected by the re-introduction of stricter containment measures. The growth trajectory is projected to improve from the second quarter, driven by improvement in global demand, turnaround in public and private sector expenditure amidst continuing support from policy measures, and higher production in the manufacturing and mining sectors. The Covid-19 vaccine rollout from February 2021 is also expected to lift sentiment and dampen the spread of the virus. The Grains and Agribusiness segment is expected to weather the volatile commodities market.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2020,MDA_P008,Unknown,B008,"[MDA_P008] The segment, which produces and distributes staple food items, is expected to perform satisfactorily, riding on its strong technical competency, extensive marketing and distribution network as well as in-depth procurement experience. The Consumer Products segment is expected to perform sa","[MDA_P008] The segment, which produces and distributes staple food items, is expected to perform satisfactorily, riding on its strong technical competency, extensive marketing and distribution network as well as in-depth procurement experience. The Consumer Products segment is expected to perform satisfactorily as the Group endeavours to expand sales into the food service channel and e-commerce marketplace. The Film Exhibition and Distribution segment performance will be weighed down by intermittent cinema closures, reduced seating capacity, and possible deferment of major movie title releases. Management is confident that this sector will recover as Covid-19 cases are brought under control. The Environmental engineering and Utilities segment will continue to focus on replenishing its order book and exploring new project opportunities. Performance of the Property segment remains challenging, both in the area of investment properties and property development. Management will continue to work on various initiatives to improve footfall in our malls as well as to increase sales of our development properties.",normalize_whitespace;renumber_paragraph,0,,high
