document_id,dimension_code,old_score,new_score,old_evidence,new_evidence,repair_status,repair_reason,raw_output_path,parse_status,schema_validation_status,new_evidence_semantic_status,new_evidence_issue_type
MDA_2658_AJI_2020,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_2658_AJI_2022,AR02,3,3,[MDA_P032],[MDA_P032],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_2828_CIHLDG_2021,AR02,4,4,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_2828_CIHLDG_2023,AR02,4,4,[MDA_P002],[MDA_P002],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_3662_MFLOUR_2020,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_3662_MFLOUR_2021,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_3662_MFLOUR_2023,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_3689_FN_2020,AR02,4,4,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_3689_FN_2021,AR02,3,3,[MDA_P002],[MDA_P002],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5008_HARISON_2022,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5157_SG_2021,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5157_SG_2024,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5187_HBGLOB_2021,AR01,2,2,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5187_HBGLOB_2021,AR05,2,2,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5306_FFB_2022,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5533_OCB_2020,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5533_OCB_2021,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_5533_OCB_2022,AR01,5,5,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2022,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2022,AR05,4,4,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2023,AR01,4,4,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2023,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2023,AR05,4,4,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,non_mda_noise
MDA_5533_OCB_2024,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_6203_KHEESAN_2024,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_7103_SPRITZER_2020,AR02,3,3,[MDA_P002],[MDA_P002],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_7103_SPRITZER_2022,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_7237_PWROOT_2020,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_7237_PWROOT_2022,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_7237_PWROOT_2023,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
MDA_8478_HWATAI_2020,AR02,3,3,[MDA_P001],[MDA_P001],manual_required,repair_output_still_invalid,,not_repaired,not_repaired,invalid,missing_financial_content
