document_id,dimension_code,source_paragraph_count,selected_paragraph_count,selected_paragraph_ids,selection_reason,input_char_count,estimated_token_count,context_budget,budget_passed,fallback_used
MDA_0012_3A_2020,AR01,13,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P006,coverage_map_and_representative_sections,5709,1428,1606,True,True
MDA_0012_3A_2020,AR02,13,5,MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P006,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,5915,1479,1606,True,True
MDA_0012_3A_2020,AR03,13,6,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P007,operating_driver_keywords_with_causal_priority,6255,1564,1606,True,True
MDA_0012_3A_2020,AR04,13,6,MDA_P001|MDA_P002|MDA_P003|MDA_P006|MDA_P009|MDA_P010,risk_outlook_challenge_keywords,5841,1461,1606,True,True
MDA_0012_3A_2020,AR05,13,5,MDA_P001|MDA_P004|MDA_P007|MDA_P010|MDA_P013,python_structure_features_and_representative_paragraphs,4953,1239,1606,True,False
MDA_0012_3A_2021,AR01,10,6,MDA_P001|MDA_P002|MDA_P003|MDA_P005|MDA_P006|MDA_P007,coverage_map_and_representative_sections,5801,1451,1606,True,True
MDA_0012_3A_2021,AR02,10,6,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P006,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,6377,1595,1606,True,True
MDA_0012_3A_2021,AR03,10,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005,operating_driver_keywords_with_causal_priority,5661,1416,1606,True,True
MDA_0012_3A_2021,AR04,10,2,MDA_P005|MDA_P007,risk_outlook_challenge_keywords,2599,650,1606,True,False
MDA_0012_3A_2021,AR05,10,5,MDA_P001|MDA_P003|MDA_P006|MDA_P008|MDA_P010,python_structure_features_and_representative_paragraphs,4532,1133,1606,True,False
MDA_0012_3A_2022,AR01,23,7,MDA_P001|MDA_P003|MDA_P005|MDA_P007|MDA_P010|MDA_P012|MDA_P014,coverage_map_and_representative_sections,6370,1593,1606,True,True
MDA_0012_3A_2022,AR02,23,9,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P006|MDA_P007|MDA_P008|MDA_P009,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,6057,1515,1606,True,True
MDA_0012_3A_2022,AR03,23,8,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P006|MDA_P007|MDA_P008,operating_driver_keywords_with_causal_priority,5573,1394,1606,True,True
MDA_0012_3A_2022,AR04,23,5,MDA_P002|MDA_P003|MDA_P010|MDA_P011|MDA_P012,risk_outlook_challenge_keywords,5497,1375,1606,True,True
MDA_0012_3A_2022,AR05,23,5,MDA_P001|MDA_P006|MDA_P012|MDA_P018|MDA_P023,python_structure_features_and_representative_paragraphs,3445,862,1606,True,False
MDA_0012_3A_2023,AR01,18,5,MDA_P001|MDA_P002|MDA_P003|MDA_P006|MDA_P007,coverage_map_and_representative_sections,5636,1409,1606,True,True
MDA_0012_3A_2023,AR02,18,6,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005|MDA_P006,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,6241,1561,1606,True,True
MDA_0012_3A_2023,AR03,18,6,MDA_P001|MDA_P003|MDA_P005|MDA_P006|MDA_P007|MDA_P008,operating_driver_keywords_with_causal_priority,6354,1589,1606,True,True
MDA_0012_3A_2023,AR04,18,5,MDA_P003|MDA_P005|MDA_P006|MDA_P007|MDA_P010,risk_outlook_challenge_keywords,5829,1458,1606,True,True
MDA_0012_3A_2023,AR05,18,5,MDA_P001|MDA_P005|MDA_P010|MDA_P014|MDA_P018,python_structure_features_and_representative_paragraphs,4662,1166,1606,True,False
MDA_0012_3A_2024,AR01,8,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005,coverage_map_and_representative_sections,5462,1366,1606,True,True
MDA_0012_3A_2024,AR02,8,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,5918,1480,1606,True,True
MDA_0012_3A_2024,AR03,8,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P005,operating_driver_keywords_with_causal_priority,5462,1366,1606,True,True
MDA_0012_3A_2024,AR04,8,5,MDA_P001|MDA_P002|MDA_P003|MDA_P004|MDA_P006,risk_outlook_challenge_keywords,5681,1421,1606,True,True
MDA_0012_3A_2024,AR05,8,5,MDA_P001|MDA_P003|MDA_P005|MDA_P007|MDA_P008,python_structure_features_and_representative_paragraphs,5647,1412,1606,True,False
MDA_0212_SDS_2020,AR01,17,5,MDA_P001|MDA_P004|MDA_P006|MDA_P008|MDA_P009,coverage_map_and_representative_sections,5593,1399,1606,True,True
MDA_0212_SDS_2020,AR02,17,5,MDA_P001|MDA_P002|MDA_P007|MDA_P008|MDA_P009,financial_numeric_keywords_with_neighbor_context_and_numeric_summary,5607,1402,1606,True,True
MDA_0212_SDS_2020,AR03,17,5,MDA_P001|MDA_P002|MDA_P004|MDA_P006|MDA_P008,operating_driver_keywords_with_causal_priority,6020,1505,1606,True,True
