document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_4065_PPB_2024,REMOVED_001,Unknown,L2,PERFORMANCE REVIEW PPB Group Berhad Annual Report 2024,,remove_header_footer,1,header_footer,medium
MDA_4065_PPB_2024,MDA_P001,Unknown,B001,[MDA_P001],[MDA_P001],normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P002,Unknown,B002,[MDA_P002] MESSAGES FROM OUR LEADERS,[MDA_P002] MESSAGES FROM OUR LEADERS,normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P003,Unknown,B003,[MDA_P003] GROUP MANAGING DIRECTOR’S REVIEW,[MDA_P003] GROUP MANAGING DIRECTOR’S REVIEW,normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P004,Unknown,B004,[MDA_P004] 6. Supply chain disruption risk Disruptive worldwide events such as climate change and geopolitical tensions expose the Group to supply chain,[MDA_P004] 6. Supply chain disruption risk Disruptive worldwide events such as climate change and geopolitical tensions expose the Group to supply chain,normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P005,Unknown,B005,"[MDA_P005] disruption risks. The Group recognises the need for our supply chains to be resilient. To mitigate the impact, actions being taken include close monitoring of global supply and demand, strategic procurement of raw materials, diversification of supply sources and optimisation of operationa","[MDA_P005] disruption risks. The Group recognises the need for our supply chains to be resilient. To mitigate the impact, actions being taken include close monitoring of global supply and demand, strategic procurement of raw materials, diversification of supply sources and optimisation of operational efficiencies through our Group’s extensive procurement experience and technical competency.",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P006,Risk and Outlook,B007,"[MDA_P007] challenges with some possible downside risks from slowdown of trading partners and business restrictions, growth of the Malaysian economy will continue to be bolstered by robust expansion in investment activity, resilient household spending and expansion in exports supported by Malaysia’s","[MDA_P007] challenges with some possible downside risks from slowdown of trading partners and business restrictions, growth of the Malaysian economy will continue to be bolstered by robust expansion in investment activity, resilient household spending and expansion in exports supported by Malaysia’s strong economic fundamentals. Inflation is also expected to remain manageable. The economy will benefit from these cascading effects. In light of these projections, the Group will remain steadfast in executing our strategic business plans, capitalising on emerging opportunities while proactively addressing potential challenges. With deep market insights into our various business segments, we are well-positioned to navigate the evolving market landscape and align our efforts accordingly to drive sustainable growth. Despite ongoing challenges in the global grain market,",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P007,Risk and Outlook,B008,"[MDA_P008] including adverse weather conditions in key grain-producing regions, evolving government policies, shifting trade dynamics and economic pressures, the Grains & Agribusiness segment remains confident in our ability to navigate and manage these complexities. By leveraging our expertise in g","[MDA_P008] including adverse weather conditions in key grain-producing regions, evolving government policies, shifting trade dynamics and economic pressures, the Grains & Agribusiness segment remains confident in our ability to navigate and manage these complexities. By leveraging our expertise in grain sourcing and technical know-how, we will continue to deliver high-quality",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P008,Risk and Outlook,B009,[MDA_P009] products to our customers. We expect performance of the segment to be satisfactory in 2025. The Consumer Products segment will continue to expand our product range and strengthen our market presence to enhance distribution efficiency amid rising operating costs. With a well-established di,"[MDA_P009] products to our customers. We expect performance of the segment to be satisfactory in 2025. The Consumer Products segment will continue to expand our product range and strengthen our market presence to enhance distribution efficiency amid rising operating costs. With a well-established distribution network, robust logistics infrastructure, and resilient household spending in Malaysia,",normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P009,Risk and Outlook,B010,[MDA_P010] we expect the segment to deliver satisfactory performance in 2025.,[MDA_P010] we expect the segment to deliver satisfactory performance in 2025.,normalize_whitespace;renumber_paragraph,0,,high
MDA_4065_PPB_2024,MDA_P010,Risk and Outlook,B011,"[MDA_P011] The box office performance of the Film Exhibition & Distribution segment continues its upward trend, signalling a steady recovery in moviegoing interest. With an anticipated stronger lineup of movie releases in 2025, the cinema industry is expected to continue its recovery. Supported by o","[MDA_P011] The box office performance of the Film Exhibition & Distribution segment continues its upward trend, signalling a steady recovery in moviegoing interest. With an anticipated stronger lineup of movie releases in 2025, the cinema industry is expected to continue its recovery. Supported by ongoing operational efficiency initiatives, including cost optimisation efforts and enhanced customer experiences, we expect to deliver improved results in 2025. In December 2024, the Property segment launched the Lumina Bedong, a township development in Kedah, with Phase 1 comprising 125 freehold single-storey linked houses. While other development projects are in various planning",normalize_whitespace;renumber_paragraph,0,,high
