document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_5533_OCB_2021,REMOVED_001,Unknown,L58,ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_5533_OCB_2021,REMOVED_002,Unknown,L142,ANNUAL REPORT 2021,,remove_header_footer,1,header_footer,medium
MDA_5533_OCB_2021,MDA_P001,Unknown,B001,[MDA_P001] Management Discussion and Analysis,[MDA_P001] Management Discussion and Analysis,normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P002,Unknown,B002,[MDA_P002] Registration No. 195901000114 (3465-H) REVIEW OF THE OPERATING ACTIVITIES (cont’d) Consumer Foods Division (cont’d) Spices & Seasonings Specialities Sdn. Bhd. received the FSSC 22000 certification in August 2021. With this certification which is a program under the Global Food Safety Init,"[MDA_P002] Registration No. 195901000114 (3465-H) REVIEW OF THE OPERATING ACTIVITIES (cont’d) Consumer Foods Division (cont’d) Spices & Seasonings Specialities Sdn. Bhd. received the FSSC 22000 certification in August 2021. With this certification which is a program under the Global Food Safety Initiative (“GFSI”) and equivalent to ISO 22000, demonstrated that the quality standard and food safety control systems are well run and aligned with international standards. With this system in place, we would be able to maintain the highest standard of quality and leverage on it to expand our customer base particularly, for OEM projects. Operationally, one of the major challenges for Year 2021 was the unprecedented increase in cost of raw materials such as soybean oil, palm olein, wheat flour and a host of other ingredients. These inflationary pressures were brought about by a combination of factors such as spike in ocean freight, shortage of vessels and containers, delays from port shutdowns, poor yield of crops, and shortage of manpower amongst others.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P003,Unknown,B003,"[MDA_P003] This directly impacted the Division’s cost of materials and operations which necessitated the increase in consumer selling price across the full range of our Noodles and Salad Dressing products. The other main focus of the Plants’ Management was the prevention, control and management of C","[MDA_P003] This directly impacted the Division’s cost of materials and operations which necessitated the increase in consumer selling price across the full range of our Noodles and Salad Dressing products. The other main focus of the Plants’ Management was the prevention, control and management of Covid-19 at the Plants. Apart from the setting up of the Covid-19 Response Team in 2020, the Plants also practiced social distancing, work from home arrangements, virtual meetings, wearing of PPEs, frequent sanitising, temperature monitoring and bi-weekly RTK testing. In total, the Plants reported 56 Covid-19 positive cases in 2021. Another change during the year was the shifting of all foreign workers to a hostel in Mantin, Negeri Sembilan in compliance with Act 446, Workers’ Minimum Standards of Housing and Amenities Act 1990. Continuing on the digitization plan, the Division also kicked off the e-Purchase Order project which went live in August 2021. With this system in place, the system automatically ensures thresholds for approval are adhered to.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P004,Unknown,B004,"[MDA_P004] The date and time are stamped on the purchase orders based on approval, automatic reminder on delivery date emailed to supplier, and automatic reminder on overdue delivery emailed to supplier. It has increased efficiency, saved time and cost and enabled the Procurement Team to focus on ot","[MDA_P004] The date and time are stamped on the purchase orders based on approval, automatic reminder on delivery date emailed to supplier, and automatic reminder on overdue delivery emailed to supplier. It has increased efficiency, saved time and cost and enabled the Procurement Team to focus on other improvements and cost savings projects. All in all, Year 2021 has been a challenging year for the Division and it foresees that these challenges will persist for the first half of 2022 especially, in the areas of commodities inflation and supply chain uncertainties. The Division will continue to focus on automation and digitization to be cost-efficient going forward. Bedding Products Division The Division has invested in the operations of The KING KOIL Flagship Stores (“Flagship Stores”). Currently, it has 14 Flagship Stores via a licensing agreement with dealers selling only specific models. In 2021, 1 new Flagship Store was opened in Pavilion Bukit Jalil, Kuala Lumpur. As at 31 December 2021, the Division had Flagship Stores in the following locations: 1. Viva Mall, Kuala Lumpur 2. Jalan Bangsar, Kuala Lumpur 3. Sunway Pyramid, Kuala Lumpur 4. Old Klang Road, Kuala Lumpur 5.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P005,Unknown,B005,"[MDA_P005] Ikano Power Centre, Kuala Lumpur 6. Sungai Besi, Kuala Lumpur 7. Aman Centre, Alor Setar 8. Gurney Plaza, Penang 9. Vivacity, Kuching, Sarawak 10. Imago, Kota Kinabalu, Sabah 11. Paradigm Mall, Johor Bahru 12. Mid Valley South Bay, Johor Bahru 13. Toppen Shopping Centre, Johor Bahru 14. P","[MDA_P005] Ikano Power Centre, Kuala Lumpur 6. Sungai Besi, Kuala Lumpur 7. Aman Centre, Alor Setar 8. Gurney Plaza, Penang 9. Vivacity, Kuching, Sarawak 10. Imago, Kota Kinabalu, Sabah 11. Paradigm Mall, Johor Bahru 12. Mid Valley South Bay, Johor Bahru 13. Toppen Shopping Centre, Johor Bahru 14. Pavilion Bukit Jalil, Kuala Lumpur Management Discussion and Analysis",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P006,Unknown,B006,"[MDA_P006] REVIEW OF THE OPERATING ACTIVITIES (cont’d) Bedding Products Division (cont’d) As at 31 December 2021, the Division has only 1 KING KOIL Concept Store (“Concept Store”) located at Central i-City Mall, Shah Alam, Selangor. The main aim of the Concept Store is to further promote brand equit","[MDA_P006] REVIEW OF THE OPERATING ACTIVITIES (cont’d) Bedding Products Division (cont’d) As at 31 December 2021, the Division has only 1 KING KOIL Concept Store (“Concept Store”) located at Central i-City Mall, Shah Alam, Selangor. The main aim of the Concept Store is to further promote brand equity and enhance customers’ experience of KING KOIL products. During the year under review, the Division organised a Facebook live show by an influencer to introduce our Galax Series mattresses. The Galax Series mattresses were introduced in the third quarter of 2021. Galax Series is a compressed Pocket Spring mattress that can be transported in a box (mattress-in-a-box). This range of mattress offers a 100-day free trial to customers and comes with a 15-year warranty. The multiple lockdowns that occurred during the Covid-19 pandemic period had seen the unprecedented growth of digital and e-commerce. The Division also launched its online store promotion via its own website to cater for this segment. The Division will speed up the digital transition to help mitigate the economic downturn brought about by Covid-19 pandemic.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P007,Unknown,B007,"[MDA_P007] In 2021, the Division continued to be actively involved in its e-commerce activities by participating in various campaigns on both, Lazada and Shopee platforms during special festivities such as: 1. Chinese New Year Sale 2. Lazada Birthday 3. Ramadan Sale 4. Hari Raya Sale 5. Mid-Year Sal","[MDA_P007] In 2021, the Division continued to be actively involved in its e-commerce activities by participating in various campaigns on both, Lazada and Shopee platforms during special festivities such as: 1. Chinese New Year Sale 2. Lazada Birthday 3. Ramadan Sale 4. Hari Raya Sale 5. Mid-Year Sale 6. Merdeka Sale 7. 9.9, 10.10, 11.11 and 12.12 Sale 8. Christmas Sale Going forward, the Division will continue to leverage on digital marketing such as digital billboard, online sales, Google Ads and others to enhance the brand awareness among Malaysians. In addition to that, the Division will continue using traditional marketing such as the print media to reach our audience offline to create awareness among the older generation consumers. The Division will continue with its advertising and promotion budget for media spending to create the consumer pull and brand building activities. The Division will allocate additional budget into the digital and social media marketing. Social media marketing, such as in Facebook, Instagram, Key Opinion Leaders and other similar applications will continue to play an important role in the Division’s marketing activities.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P008,Unknown,B008,"[MDA_P008] The Division will further develop new sales channels via specialty shops catering mainly to tourists market, online sales and pay TV channel. The Division has registered significant growth from online and pay TV channels sales. The Division will also further enhance its online sales by ad","[MDA_P008] The Division will further develop new sales channels via specialty shops catering mainly to tourists market, online sales and pay TV channel. The Division has registered significant growth from online and pay TV channels sales. The Division will also further enhance its online sales by adding new merchandise selection for the customers. The Division will strengthen its business foundations based on strategic marketing plans targeting specific market segments (premium market, middle market, and Malay consumer market). As for the export market, the Division will continue to develop its export business potential. It is also strengthening the latex export business. There are plans to further develop the KING KOIL retail and export business in new markets like Thailand, Vietnam, Myanmar and Cambodia. The Division has successfully made inroads into a number of these markets. The Division will continue to improve its customer relationship management system in order to enhance its relationship with customers and improve its customers’ service experience. The Division has also planned to continue to enhance the design of its popular models to cater for consumers’ current trend.",normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P009,Unknown,B009,[MDA_P009] These launches will help improve sales and push its products to the market. Management Discussion and Analysis,[MDA_P009] These launches will help improve sales and push its products to the market. Management Discussion and Analysis,normalize_whitespace;renumber_paragraph,0,,high
MDA_5533_OCB_2021,MDA_P010,Unknown,B010,"[MDA_P010] Registration No. 195901000114 (3465-H) REVIEW OF THE OPERATING ACTIVITIES (cont’d) Bedding Products Division (cont’d) During the financial year under review, the rise in the cost of raw materials such as foam, latex, wire and other components had directly impacted the Division’s profitabi","[MDA_P010] Registration No. 195901000114 (3465-H) REVIEW OF THE OPERATING ACTIVITIES (cont’d) Bedding Products Division (cont’d) During the financial year under review, the rise in the cost of raw materials such as foam, latex, wire and other components had directly impacted the Division’s profitability. In order to partially mitigate the impact of rising cost, the Division had increased selling price of its products in mid-December 2021. Building Materials Division The industry remains clouded with the Covid-19 pandemic. The Division would have performed better if it was not for the deferment of delivery of goods to various key projects due to delay in work progress at the construction sites. The Division resumed a good momentum from Year 2020 and started Year 2021 strongly for the January to February period registering growth in sales performance. However, as like in 2020, the Division took a hit when the Government announced the FMCO 3.0 in June 2021. Some of the key projects that the Division secured in 2021 included: 1. Pendang Hospital, Kedah 2. Golden Wave Hotel, Kota Kinabalu, Sabah 3. EM Hub 2, Selangor 4. Aetas Tropicana, Selangor 5.",normalize_whitespace;renumber_paragraph,0,,high
