document_id,clean_paragraph_id,clean_section,raw_locator,raw_text_snippet,clean_text,cleaning_actions,is_removed,removal_reason,confidence_level
MDA_2836_CARLSBG_2020,REMOVED_001,Unknown,L127,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_002,Unknown,L186,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_003,Unknown,L448,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_004,Unknown,L692,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_005,Unknown,L873,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_006,Unknown,L1200,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,REMOVED_007,Unknown,L1307,Annual Report 2020,,remove_header_footer,1,header_footer,medium
MDA_2836_CARLSBG_2020,MDA_P001,Unknown,B001,"[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS DEAR SHAREHOLDERS, HELLO EVERYONE. I HOPE THIS NOTE FINDS ALL OF YOU IN GOOD STEAD AND EXCELLENT HEALTH. STEFANO CLINI Managing Director of Carlsberg Malaysia Group The year 2020, long anticipated as a historic milestone for Malaysia and a personally signi","[MDA_P001] MANAGEMENT DISCUSSION & ANALYSIS DEAR SHAREHOLDERS, HELLO EVERYONE. I HOPE THIS NOTE FINDS ALL OF YOU IN GOOD STEAD AND EXCELLENT HEALTH. STEFANO CLINI Managing Director of Carlsberg Malaysia Group The year 2020, long anticipated as a historic milestone for Malaysia and a personally significant one for me as my first full year leading the Carlsberg Malaysia Group, suffered an unforeseen reverse due to COVID-19, which as we know is now a pandemic that engulfed the entire world. Our company was not spared the fallout. With the first confirmed COVID-19 confirmed case reported in Singapore on 23 January 2020, we set in motion our commercial and operational plans for business continuity amid highly uncertain prospects. Pre-emptively, we began with tightening our health and safety practices to safeguard against what was already becoming a huge threat here and abroad. Two months later, the World Health Organisation (WHO) declared a global pandemic, with governments responding by sending a third of the world’s population into lockdown. In Malaysia, the Movement Control Order (MCO) began on 18 March 2020 while in Singapore, a ‘circuit breaker’ (CB) was implemented on 7 April 2020.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2836_CARLSBG_2020,MDA_P002,Unknown,B002,"[MDA_P002] We essentially suspended production and distribution in compliance with unprecedented restrictions, which led to business disruption. From the beginning, we began engaging with our stakeholders in earnest, communicating our efforts to contain the virus and offering support and reassurance","[MDA_P002] We essentially suspended production and distribution in compliance with unprecedented restrictions, which led to business disruption. From the beginning, we began engaging with our stakeholders in earnest, communicating our efforts to contain the virus and offering support and reassurance to our employees, business partners and customers. Our community efforts remained, with our Safer Schools campaign a new step-up in response to public fears over the outbreak of COVID-19. Our brewery was finally allowed to resume full operations following the start of the Conditional MCO (CMCO) period in Malaysia on 4 May 2020. Thankfully, from May onwards, we saw a gradual lifting of social distancing measures in Malaysia, though not all on-trade businesses such as entertainment outlets were allowed to operate. In Singapore, the government announced on 19 June 2020 that on-trade outlets were only to re-open partially under ‘new normal’ guidelines.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2836_CARLSBG_2020,MDA_P003,Unknown,B003,"[MDA_P003] Accordingly, our financial results suffered a tumultuous first half, with both revenue and profit severely dented due to the stay-at-home orders and social distancing restrictions imposed by authorities in Malaysia, Singapore, as well as our investment in Sri Lanka.","[MDA_P003] Accordingly, our financial results suffered a tumultuous first half, with both revenue and profit severely dented due to the stay-at-home orders and social distancing restrictions imposed by authorities in Malaysia, Singapore, as well as our investment in Sri Lanka.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2836_CARLSBG_2020,MDA_P004,Unknown,B004,"[MDA_P004] Statements from Our Leadership MANAGING DIRECTOR’S MESSAGE AND MANAGEMENT DISCUSSION & ANALYSIS Overall, volumes were impacted due to the suspension of brewery operations and distribution from the start of MCO but improved gradually towards a recovery that started from June onwards as loc","[MDA_P004] Statements from Our Leadership MANAGING DIRECTOR’S MESSAGE AND MANAGEMENT DISCUSSION & ANALYSIS Overall, volumes were impacted due to the suspension of brewery operations and distribution from the start of MCO but improved gradually towards a recovery that started from June onwards as lockdown measures eased. However, the much-dreaded second wave began with new cases escalating from September onwards, once again triggering another round of stricter lockdown measures that were imposed in most states in Malaysia. Regrettably, it took another toll on on-trade consumption which had been on the path toward slow but promising recovery in the fourth quarter. As local businesses and their employees suffered from the lockdowns and loss of livelihoods, we prioritised our employees’ well-being and welfare from the very start by ensuring that all our full-time employees would remain on full salary with no reduction throughout 2020. This helped boost morale among our staff, despite having to work under very difficult and challenging circumstances at the brewery, in marketplace or from home.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2836_CARLSBG_2020,MDA_P005,Unknown,B005,"[MDA_P005] I am proud to say that even in the darkest days of lockdown, we kept our priorities right, with safety and wellbeing at the top. We developed stringent health and safety standard operating procedures (SOPs), including suspending brewery visits and onground events in Malaysia. Staff not es","[MDA_P005] I am proud to say that even in the darkest days of lockdown, we kept our priorities right, with safety and wellbeing at the top. We developed stringent health and safety standard operating procedures (SOPs), including suspending brewery visits and onground events in Malaysia. Staff not essential to the running of the brewery were asked to work from home, while those working from the brewery adhered to a strict segregation of workforce during shift handovers. We also implemented a split team rotation on alternate days when employees returned to the office during the Recovery MCO (RMCO) period in Malaysia. In Malaysia, we have implemented mandatory swab tests since January 2021, fully sponsored by the company and in support of government efforts to curb the rising rate of infections for employees required to work at our Shah Alam headquarters or in the field. These difficulties saw us band together in ways we never thought possible.",normalize_whitespace;renumber_paragraph,0,,high
MDA_2836_CARLSBG_2020,MDA_P006,Unknown,B006,"[MDA_P006] As a collective, our people are now closer than ever before, brought together by the challenges, setting our company on the right course to benefit from a cautiously hopeful rebound in 2021, all while living our purpose of BREWING FOR A BETTER TODAY & TOMORROW.","[MDA_P006] As a collective, our people are now closer than ever before, brought together by the challenges, setting our company on the right course to benefit from a cautiously hopeful rebound in 2021, all while living our purpose of BREWING FOR A BETTER TODAY & TOMORROW.",normalize_whitespace;renumber_paragraph,0,,high
